stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,1,0,1,0,0,8,2,1,4,0,1,4,0,0,0,0,0
 24-34,0,3.28,4.1,41.04,10.67,0,8.21,4.93,0,9.85,4.1,0,0.82,15.6,0,4.93,0,3.28,18.06,4.93,0,6.57,183.05,0,15.6,13.95,0,0,174.84,0,0,73.88,9.03,1.64,82.91,0,0,11.49,0,0
 36-46,0,1.61,0,12.89,9.67,0,10.47,37.87,0,4.03,1.61,0,9.67,12.09,0,1.61,1.61,0.81,8.06,3.22,0,4.03,198.19,0,22.56,5.64,0,0,216.73,0.81,0,59.62,12.09,0,55.59,0,0,4.03,0,1.61
 48-58,0,1.15,0,8.61,6.31,0,17.79,12.05,1.72,1.15,2.87,1.15,7.46,2.3,0,1.15,1.15,0,15.49,1.72,0.57,0.57,139.43,0,19.51,9.18,0,0,64.27,0,0,38.44,11.48,0,18.36,0,0,2.87,0,0
 60-70,0,0.98,0,16.69,2.94,0,38.28,1.96,0,3.93,21.59,2.94,9.82,2.94,0.98,3.93,8.83,0.98,14.72,0,0.98,0.98,192.38,0.98,27.48,17.67,0,0,27.48,0,0,39.26,0.98,0,19.63,0,0,2.94,0,0
 72-82,0,0.98,0.98,10.8,6.87,0,19.63,0.98,0,1.96,40.25,1.96,0.98,1.96,0.98,5.89,8.83,0,12.76,0,0,0.98,95.22,0,44.17,28.47,0,0,2.94,0,0,34.36,0.98,0,10.8,3.93,0.98,0.98,0.98,0
 84-94,0,7.43,4.25,26.55,8.5,0,25.49,0,0,4.25,210.28,4.25,1.06,3.19,0,9.56,14.87,0,5.31,0,0,1.06,48.85,0,25.49,53.1,0,0,10.62,0,0,91.34,0,0,11.68,45.67,1.06,1.06,1.06,1.06
 96-106,0,9.84,8.74,8.74,20.76,1.09,14.21,0,0,5.46,146.44,9.84,6.56,0,0,15.3,17.49,0,4.37,0,0,0,50.27,0,95.08,55.74,0,1.09,3.28,0,0,46.99,0,0,2.19,7.65,0,0,1.09,0
108-118,0,3.06,9.19,6.13,11.49,2.3,5.36,0,0,5.36,238.21,7.66,2.3,3.83,0,6.13,16.09,0,6.13,0,0,1.53,51.32,0,26.81,31.4,0,0.77,1.53,0,0,47.49,0,0,1.53,8.43,0,0.77,0,0.77
120,0,0,3.92,1.96,17.64,0,5.88,0,0,5.88,121.51,3.92,7.84,0,0,0,5.88,0,3.92,0,0,0,35.28,0,31.36,19.6,0,0,0,0,0,19.6,0,0,1.96,1.96,0,0,0,0
