stage,blastomeres,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,5.26,0,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.87,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0.98,0.98,0,0.98,1.96,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,2.12
120,0,0,0,0,0,0,0,0,1.96,0,0,0
