stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,13.14,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,5,0,0,2,0,1,1,0,0,0,0,0,1,0,6,0,38,19,0,0,0,0,0,0,1,2,0,0,7,9,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,1.64,0,3.28,0,0,0,0,0,0,0.82,0,0,0,132.98,0,114.92,13.95,0,0,0,0,0,0.82,0,0.82,0,0,0.82,8.21,0,38.58,0,2.46
 36-46,0,0,0,0,0.81,0,0.81,0,0.81,1.61,0.81,0,0,0.81,0.81,3.22,0,0,0.81,233.64,4.03,63.65,14.5,0,0,0.81,0,0.81,0.81,0,0,0,0,0,4.03,0,49.15,0.81,0.81
 48-58,0,0,0,0,1.72,0.57,7.46,0.57,1.15,1.15,1.72,0,2.87,1.72,0,3.44,0,0,0,337.97,15.49,54.51,26.97,0,0,1.15,0,1.15,0.57,0,0,0,0,0,5.74,0,41.89,0,0
 60-70,0,0,0,0,2.94,0.98,7.85,0,0,0,1.96,0,3.93,4.91,0,0.98,0.98,0.98,0,503.52,34.35,47.11,40.24,0,0.98,0.98,0,11.78,0,0,0,0.98,0,0,4.91,7.85,51.04,5.89,0
 72-82,0,0,0.98,0,4.91,1.96,49.08,0.98,1.96,4.91,8.83,0.98,3.93,15.71,0,2.94,0,0,0,818.71,48.1,53.01,80.5,0,0.98,1.96,0,16.69,0,0,0,0.98,0,0,1.96,32.39,70.68,36.32,0.98
 84-94,0,0,0,0,9.56,0,69.03,0,1.06,1.06,8.5,2.12,12.74,10.62,1.06,3.19,0,1.06,0,468.36,56.29,31.86,45.67,0,1.06,1.06,0,8.5,1.06,0,0,1.06,1.06,0,2.12,25.49,60.54,33.99,0
 96-106,0,0,0,0,9.84,1.09,41.53,1.09,1.09,2.19,13.11,0,13.11,40.44,0,0,0,0,0,490.69,24.04,34.97,54.64,0,1.09,0,0,25.14,2.19,0,0,0,0,0,2.19,17.49,66.66,62.29,0
108-118,0,0,0,0,6.13,0,19.15,0,2.3,2.3,6.13,0,3.83,27.57,0,2.3,0,0,0,471.07,20.68,22.21,54.38,0,0,0,0,25.28,0.77,0,0,0,0,0,0.77,9.19,51.32,26.81,0
120,0,0,0,0,9.8,1.96,25.48,0,0,0,7.84,1.96,1.96,45.08,1.96,1.96,0,0,0,352.76,23.52,19.6,43.12,0,1.96,0,0,15.68,0,0,0,0,0,0,0,7.84,54.87,35.28,0
