stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,26,0,1,0,0,0,0,0,0,32,0,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,4.1,0,0,0,4.1,0,0,0.82,0,0.82,0,0.82,6.57,0,0,3.28,136.26,0,4.93,4.93,0,0,0,1.64,1.64,97.68,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,7.25,0,0,0,5.64,0,1.61,0.81,0,0,0,0,5.64,0,0,1.61,232.03,0,11.28,0.81,0,0,0.81,0,0,148.24,0,0,1.61,0,0.81
 48-58,0,0,0,2.3,0,0,21.23,0,0,0,8.03,0,1.15,0,0,1.15,0,0,8.61,0,0,0.57,206,0.57,5.74,1.15,0,0,0,0,0,76.32,0,0,0.57,0,1.15
 60-70,0,0,0.98,0.98,0,0,62.82,0,0.98,1.96,6.87,0,0,2.94,0,0.98,0,0,10.8,0,0,0.98,366.11,0,9.82,6.87,0,0,0,0.98,0,101.1,0,0,0.98,0,0.98
 72-82,0,0,0,2.94,0.98,0,72.64,0,0,0,22.58,0,0,1.96,0,6.87,0,0,7.85,0.98,0,0,318.06,0,11.78,24.54,0,0,0.98,0,0,42.21,0,0,1.96,0,0.98
 84-94,0,0,0,0,0,0,41.42,0,0,1.06,13.81,2.12,0,2.12,0,7.43,0,0,5.31,0,0,0,135.94,0,4.25,22.3,0,0,0,0,0,24.43,0,2.12,0,1.06,0
 96-106,0,0,1.09,1.09,0,0,54.64,0,0,3.28,7.65,0,0,3.28,0,14.21,1.09,0,8.74,2.19,0,0,121.31,0,14.21,29.51,0,0,2.19,0,0,15.3,0,1.09,1.09,2.19,0
108-118,0,0,0,3.83,0,0,49.79,0.77,0,0,22.98,0.77,0,3.06,0.77,14.55,0,0,7.66,0,0.77,0.77,156.26,0,12.26,22.21,0,0,0.77,0,0,4.6,0.77,0,0.77,2.3,0
120,0,0,0,5.88,0,3.92,45.08,0,0,0,15.68,0,0,3.92,0,13.72,0,0,11.76,0,0,1.96,135.23,0,15.68,19.6,0,1.96,0,0,0,11.76,0,0,1.96,0,0
