stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,551.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,19.7,0,0,9.85,6.57,0,0.82,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,56.4,0,0.81,15.31,4.83,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,5.16,0,0,0,0,0,0,0,0.57,80.33,0,0,9.75,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,7.85,0,0,0,0.98,0,0,0,0,209.06,0,2.94,13.74,3.93,0,0,0,0,0.98,0,0,0,0,1.96,0.98,2.94,0.98,0
 72-82,0,0,0,0.98,0,11.78,0,0.98,17.67,2.94,2.94,3.93,4.91,0,0,0,0,513.41,0,1.96,32.39,17.67,0,0.98,0,0,1.96,0,0,0,0,2.94,6.87,1.96,0.98,0
 84-94,0,0,0,2.12,0,25.49,0,0,16.99,2.12,0,4.25,10.62,0,0,1.06,0,414.19,0,8.5,24.43,10.62,0,0,1.06,0,2.12,0,0,0,0,2.12,5.31,1.06,1.06,0
 96-106,0,0,0,1.09,2.19,21.86,1.09,0,17.49,4.37,1.09,7.65,14.21,0,4.37,1.09,0,508.17,0,9.84,30.6,28.41,0,0,0,0,3.28,0,1.09,0,0,1.09,14.21,4.37,5.46,1.09
108-118,0,0,0,0.77,0.77,9.19,0,0.77,16.09,3.06,1.53,6.13,16.09,0.77,0,0,0,588.26,0,6.13,31.4,27.57,0.77,0,0,0,6.13,0,0,0,0,0.77,9.19,1.53,3.06,0
120,0,0,0,7.84,0,15.68,0,0,13.72,1.96,5.88,3.92,29.4,1.96,0,0,0,491.91,1.96,1.96,3.92,25.48,0,0,0,0,3.92,0,0,0,0,0,7.84,5.88,1.96,0
