stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,39.43,0,0,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,1,0,0,0,1,0,6,0,0,0
 24-34,0,0,0,0,2.46,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,19.7,0,27.09,0,0,2.46,0,0,9.03,10.67,0,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,1.61,18.53,0,17.72,0,0,4.03,0,0,5.64,15.31,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,2.87,1.72,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0.57,20.66,0,9.18,0,0,4.02,0,0,5.16,4.59,0,0,0
 60-70,0,0,0,0,1.96,0,0,5.89,1.96,0,0,7.85,0,0,0,0,0,0,3.93,0.98,0,0,33.37,0,11.78,0.98,0,3.93,0,0,7.85,4.91,0.98,0,0
 72-82,0,0,0,0,0,0.98,0.98,5.89,0.98,0,1.96,47.12,0,0.98,0,0,0,1.96,0.98,0,0,0,25.52,0,3.93,1.96,0,5.89,0,0,6.87,2.94,0,0,0
 84-94,0,0,1.06,1.06,2.12,1.06,2.12,3.19,0,0,2.12,66.91,0,0,0,0,1.06,2.12,0,1.06,0,1.06,26.55,0,3.19,1.06,0,9.56,0,0,20.18,4.25,0,0,0
 96-106,0,0,2.19,1.09,1.09,3.28,3.28,8.74,0,0,1.09,120.21,0,0,0,4.37,0,1.09,2.19,0,1.09,0,24.04,1.09,14.21,2.19,0,4.37,0,0,17.49,2.19,1.09,0,1.09
108-118,0,0,3.83,0.77,3.83,1.53,3.06,5.36,0,0,3.83,104.94,0,0.77,0,0,0.77,1.53,2.3,0,0,0,26.04,0,13.02,1.53,0,4.6,0,0,10.72,0.77,3.06,0,0
120,0,0,0,1.96,1.96,0,1.96,7.84,0,1.96,1.96,101.91,0,0,0,0,0,1.96,3.92,1.96,0,0,29.4,0,5.88,0,0,0,0,0,9.8,0,0,1.96,0
