stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,39.53,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,56.65,6.29,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,2,0,1,2,0,3,0,0
 24-34,0,0,0,0.82,0,2.46,0,0.82,0,0,0,0,0,0,0,29.55,0,2.46,1.64,0,0,0,0,0,11.49,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0.81,0.81,0,1.61,42.7,0,0,0,0,0,0,0,0,7.25,2.42,0
 48-58,0,0,0,1.15,0,13.2,0,0,1.72,0,0,0.57,2.3,0,1.15,48.2,0,1.15,0,0,0,0,0,0.57,7.46,0,0.57
 60-70,0,0,0,0,0,27.48,0,0,1.96,0,0.98,0.98,0,0,0,55.95,0,0,0,0,0,0.98,0,0,5.89,0.98,0
 72-82,0,0,0,0.98,0,24.54,0,0,2.94,0,0,0,7.85,0,0,33.38,0,0.98,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,0,7.43,1.06,0,3.19,0,0,0,2.12,0,0,22.3,0,1.06,0,0,0,4.25,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,7.65,0,0,2.19,1.09,0,0,2.19,1.09,1.09,9.84,0,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,5.36,0,0,2.3,0,0,0,1.53,0,0.77,12.26,0,0.77,0.77,0,0.77,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,5.88,0,0,1.96,0,0,0,0,0,0,15.68,0,0,0,0,0,1.96,0,0,0,0,0
