stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,8,5,1,23,0,0,0,3,0,0,6,0,0,0,0,0,0,25,0,17,1412,0,0,2,0,0,0,0,7,1,2,23,163,0,0,6,0,0
 24-34,0.82,0,3.28,6.57,2.46,100.97,0,0,1.64,27.91,0,0.82,18.88,0.82,0.82,0,0.82,1.64,0,47.61,0.82,20.52,3819.44,0.82,2.46,22.98,0,0.82,4.1,0,0,2.46,0.82,7.39,486.77,0,0,57.46,0,1.64
 36-46,0,0,0,1.61,0,62.04,0,0,0.81,216.73,0,0,13.7,0,0,0.81,0.81,2.42,0,81.37,4.03,7.25,2837.57,0.81,1.61,20.14,0,1.61,1.61,0,0,0,0,0,424.59,0,0.81,51.56,0,0
 48-58,0,0,0,1.72,1.15,76.89,0,1.15,0,430.93,0.57,0,17.21,0.57,0,0,0,0.57,0,100.99,0.57,5.16,1179.17,0,0.57,22.95,0,0.57,1.15,0.57,0,0,0,0,172.72,0,0.57,39.59,0,0.57
 60-70,0,0,0,3.93,0.98,61.84,0.98,0.98,3.93,308.2,0,0,8.83,0.98,0,0,0.98,0.98,0,159.99,3.93,2.94,558.49,0,0,16.69,0,6.87,0,0,0,0,0,0,53.98,0,0.98,33.37,0,0.98
 72-82,0,0,0.98,5.89,0.98,89.33,1.96,0,6.87,335.73,0.98,0,6.87,0,0,0.98,0,0.98,0,183.57,5.89,5.89,404.44,0.98,0,46.14,0,4.91,2.94,0,0,0,0,0,22.58,0.98,9.82,53.99,8.83,0.98
 84-94,0,0,0,7.43,0,123.2,0,1.06,6.37,211.35,1.06,0,7.43,1.06,0,0,1.06,2.12,0,156.12,7.43,5.31,283.56,0,1.06,58.41,0,6.37,2.12,0,0,0,0,0,15.93,1.06,12.74,65.85,8.5,0
 96-106,1.09,0,3.28,14.21,0,95.08,1.09,3.28,14.21,226.22,2.19,0,8.74,2.19,0,1.09,1.09,6.56,0,148.63,6.56,3.28,243.7,1.09,0,64.48,0,15.3,3.28,0,0,1.09,0,0,18.58,1.09,6.56,92.89,14.21,1.09
108-118,0,0,2.3,8.43,0.77,49.02,0,0,7.66,209.11,0,0,2.3,2.3,0,0,0,5.36,0.77,167.75,5.36,4.6,318.64,1.53,0.77,59.75,0,6.13,0.77,0,0,0.77,0,0,6.89,0.77,2.3,72.77,2.3,0.77
120,3.92,0,0,23.52,0,50.95,0,3.92,3.92,250.85,1.96,0,1.96,1.96,0,0,3.92,0,0,125.43,3.92,3.92,286.13,1.96,0,48.99,0,1.96,0,0,0,0,0,0,3.92,0,5.88,86.23,3.92,0
