stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,30,5,0,9,0,0,0,12,4,1,0,1,0,0,1,1,14,0,0,13,181,4,0,1,6,0,1,31,4,4,27,93,0,1,0,0
 24-34,0.82,0,0,3.28,4.1,1.64,0,32.01,0,3.28,0,6.57,0.82,0.82,0,3.28,0,1.64,0.82,0.82,29.55,0,0,16.42,317.67,0.82,7.39,4.93,0,0,5.75,0,0.82,0,4.93,86.19,0,8.21,0,1.64
 36-46,0,0,0,0,2.42,1.61,0,50.76,0.81,0,0.81,4.03,0,0,0.81,0,0,0,0,0,16.92,0,0,4.03,190.14,0.81,3.22,0,0,0,4.03,0,0,0,1.61,50.76,0,0.81,0,0.81
 48-58,0,0,0.57,0,1.72,1.15,0,56.81,0,0,0,5.16,0,1.15,0,0,0.57,0,0,0,13.77,0,2.3,5.74,68.28,0.57,0,1.72,0,0,1.72,0,0,0,0,21.23,0,2.87,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,86.37,0,0.98,0.98,11.78,0,0,0,0.98,0,0.98,0,0,21.59,0.98,0,0.98,100.12,0,2.94,0,0,0,2.94,0,0,0,0,19.63,0,0.98,0,1.96
 72-82,0,0,0,0,2.94,1.96,0,57.92,0,0,0.98,13.74,0,0.98,0,0,0,0.98,0,0,30.43,0,1.96,2.94,89.33,0.98,4.91,0.98,0,0,1.96,0,0,0,0,12.76,0.98,5.89,0.98,0.98
 84-94,0,0,1.06,0,3.19,0,0,20.18,0,1.06,1.06,4.25,0,0,0,0,0,2.12,1.06,0,18.05,0,0,2.12,28.68,0,1.06,0,0,0,5.31,0,0,0,0,6.37,2.12,1.06,1.06,0
 96-106,0,0,0,0,1.09,6.56,1.09,20.76,0,0,1.09,7.65,2.19,0,1.09,0,0,0,2.19,0,9.84,1.09,0,1.09,24.04,0,4.37,0,0,1.09,4.37,0,0,0,0,2.19,1.09,0,0,0
108-118,0,0,0,0,2.3,5.36,0,22.21,0,0,2.3,6.89,0.77,0,0,0.77,0.77,0,0.77,0,14.55,0,0,1.53,33.7,0,1.53,0.77,0,0,4.6,0,0,0,0,1.53,1.53,0.77,0.77,0.77
120,0,0,0,0,1.96,7.84,0,11.76,0,0,1.96,9.8,0,0,1.96,0,0,0,0,0,13.72,0,0,3.92,39.2,1.96,1.96,0,0,1.96,9.8,0,0,0,0,1.96,3.92,0,0,0
