stage,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,44.06,3.15,0,0,9.44,3.15,3.15,0,3.15,0,0
 14-21,0,0,0,0,42,1,0,0,0,5,18,0,0,5,1,0,29,1,85,0,0
 24-34,0,0,0,0.82,43.51,0,0,0,0,1.64,17.24,0.82,4.1,3.28,0,0,12.31,4.93,66.49,0,0
 36-46,0,0,0,0.81,12.89,0,0.81,0,0,0.81,8.06,0,6.45,0,0,0,6.45,0,32.23,0,0.81
 48-58,0,0,0,2.87,14.35,0,0,0,0,0.57,4.02,0,4.59,0.57,0,0,4.02,0,28.69,0,0
 60-70,0,0,0.98,0,7.85,0,0,0,0.98,0,3.93,0,2.94,0,0,0,0.98,0,18.65,0,0
 72-82,0,0,0,0.98,19.63,0,0,0,0,0.98,2.94,0,12.76,3.93,0,0,0,0,2.94,0,0.98
 84-94,0,1.06,0,2.12,5.31,0,0,0,1.06,0,5.31,0,8.5,4.25,0,0,5.31,0,6.37,0,0
 96-106,0,0,0,3.28,4.37,0,0,0,3.28,0,0,0,10.93,5.46,0,0,1.09,0,4.37,0,0
108-118,0.77,0.77,0,0,5.36,0,0,0.77,2.3,0,3.83,0,8.43,5.36,0,0,4.6,0,3.06,0,0
120,0,0,3.92,1.96,1.96,0,0,0,1.96,0,1.96,0,0,7.84,0,0,1.96,0,1.96,1.96,0
