stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,23.66,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,116.44,6.29,0,0,44.06,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,1,36,0,1,1,1,5,7,3,0,8,26,0,0,2,0,0
 24-34,0,0,0,0,6.57,1.64,0,16.42,0,0,0,3.28,0,0,1.64,0,2.46,0.82,0.82,0,0,11.49,0.82,0,4.93,154.32,1.64,2.46,2.46,0,15.6,0,0.82,0,2.46,36.12,0,0,4.1,0,1.64
 36-46,0,0,0,0,3.22,0,0,39.48,0,0.81,0,6.45,0,0,0.81,0,1.61,0.81,0.81,0,1.61,19.34,1.61,0,7.25,217.53,1.61,2.42,1.61,0,9.67,0,0.81,0,0,58.81,0,0,2.42,0,0
 48-58,0,0,0,0,4.02,0.57,0,56.81,0.57,1.15,0.57,12.05,0.57,0,2.3,0,0.57,0.57,0,0,1.72,16.64,0,0,2.3,179.6,0,4.59,2.87,0,6.89,0,0,0.57,0,51.07,0,0,4.02,0.57,1.15
 60-70,0,0,0,0,3.93,1.96,0,124.65,1.96,0,1.96,13.74,0,0,0,0,0.98,0,0,0,2.94,34.35,0,1.96,0.98,232.62,3.93,2.94,1.96,0,15.7,0,0.98,0.98,0,46.13,0,0.98,4.91,0,0.98
 72-82,0,0,0.98,0,2.94,4.91,0,136.45,0.98,0.98,2.94,24.54,2.94,0,0,1.96,0,0,0.98,0,1.96,48.1,1.96,0,0,176.7,0,5.89,0.98,0,14.72,0,0,0,0,35.34,0.98,0.98,5.89,1.96,1.96
 84-94,0,0,1.06,0,9.56,3.19,0,77.53,1.06,2.12,2.12,13.81,0,1.06,0,2.12,3.19,5.31,1.06,0,1.06,22.3,0,4.25,2.12,111.51,0,0,4.25,0,25.49,0,0,1.06,0,11.68,2.12,3.19,10.62,2.12,0
 96-106,1.09,0,0,0,4.37,6.56,1.09,84.15,1.09,0,3.28,14.21,3.28,0,1.09,3.28,3.28,0,6.56,0,1.09,25.14,0,0,4.37,92.89,3.28,7.65,7.65,0,27.32,0,1.09,1.09,0,7.65,1.09,1.09,8.74,1.09,0
108-118,0,0,0.77,0,13.79,3.06,2.3,56.68,0,3.06,0,10.72,2.3,0,0,3.83,2.3,3.83,0.77,1.53,1.53,19.15,0.77,0.77,3.83,98.04,2.3,4.6,1.53,0,15.32,0,0,0,0,3.06,1.53,1.53,6.13,0.77,0.77
120,0,0,0,0,5.88,5.88,0,54.87,0,9.8,0,21.56,7.84,0,0,7.84,7.84,0,1.96,0,0,17.64,1.96,0,5.88,125.43,1.96,1.96,3.92,0,21.56,0,0,0,0,5.88,0,0,7.84,1.96,0
