stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,18.06,1.64,0,0,0,0.82,15.6,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,27.39,3.22,0,0,0,4.03,13.7,0,0,0,0,0
 48-58,0,0,0,0,9.18,0,0,1.15,0,0,0,0,0,1.15,0,0,43.04,1.72,0,0,0,0,10.9,0,0,0,0,0
 60-70,0,0,0,0.98,126.62,0,0,3.93,0,0,0,0.98,0,3.93,0,0,96.19,1.96,0,0,0,0,6.87,1.96,0,0,0,0
 72-82,0,0,0,0.98,312.17,0,0,3.93,0,0,0.98,0,0,3.93,1.96,0.98,93.26,2.94,0,0,0.98,0,8.83,0.98,0,0,0,0
 84-94,0,0,0,2.12,160.37,1.06,0,12.74,1.06,0,0,1.06,0,11.68,0,1.06,46.73,2.12,0,0,0,3.19,4.25,0,2.12,1.06,0,0
 96-106,0,0,1.09,1.09,203.27,1.09,0,8.74,0,0,1.09,1.09,1.09,4.37,0,3.28,51.36,2.19,0,0,0,1.09,1.09,0,0,2.19,1.09,0
108-118,0,0,0,2.3,110.3,0,0.77,3.83,0,0,0,0,0,5.36,1.53,1.53,45.19,1.53,0.77,0,0,0,0.77,0,0.77,0,0,0.77
120,0,0,0,0,50.95,0,0,3.92,0,0,1.96,0,0,11.76,0,0,58.79,1.96,0,0,0,1.96,5.88,0,0,1.96,0,0
