stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,1,0,0,0,0,8,0,4,14,28,0,0,0,0
 24-34,2.46,1.64,0.82,0.82,1.64,0.82,0,0,0.82,0.82,0,0,0,0,0.82,0,2.46,0,0,1.64,182.23,0,12.31,0,0,0,0,0,4.93,4.93,2.46,69.77,0,0.82,0,0
 36-46,0,0,0,0,8.86,1.61,0,0,1.61,0.81,0,0,0,0,0.81,0,2.42,0,0,0.81,516.43,0,17.72,0,0,0,1.61,0,0.81,0,0,124.07,0,0,0,0
 48-58,0,0,0,0,41.31,0.57,0,1.15,7.46,0,1.15,0.57,0,0,1.15,0.57,6.89,0,0,1.15,644.38,0,7.46,0,0,0.57,0.57,0,0.57,0,0,98.12,0,0,0,0
 60-70,0,0,0.98,0,161.95,4.91,0,0.98,11.78,0.98,0,0,0,0,0.98,0,6.87,0,0,0.98,1136.6,0,7.85,0.98,0,0.98,0,0,0.98,0,0,139.38,0.98,0,0.98,2.94
 72-82,0.98,0,3.93,2.94,260.14,0,0,1.96,40.25,0,0.98,0,0,0,0.98,0,18.65,0.98,0,0.98,1121.06,0,25.52,0.98,0,0,1.96,0,0,0,0,100.13,0.98,0.98,3.93,1.96
 84-94,0,0,5.31,0,154,0,1.06,0,24.43,2.12,0,1.06,1.06,0,1.06,0,11.68,2.12,1.06,1.06,534.2,0,20.18,0,0,0,1.06,0,5.31,1.06,0,54.16,2.12,1.06,5.31,0
 96-106,3.28,0,5.46,4.37,143.16,1.09,0,1.09,27.32,1.09,0,2.19,1.09,0,0,0,9.84,0,1.09,0,451.35,0,33.88,1.09,0,0,6.56,0,4.37,0,0,26.23,4.37,0,13.11,0
108-118,0.77,0,2.3,0.77,127.15,0.77,0.77,0,22.21,3.83,0.77,0,0,0.77,0.77,0,9.19,0,0,0,638.81,0,22.98,0.77,0,0,0,0,1.53,2.3,0,20.68,2.3,0.77,11.49,0
120,0,0,5.88,0,78.39,0,0,0,29.4,1.96,0,5.88,0,0,3.92,0,13.72,0,0,0,638.89,0,21.56,0,0,0,1.96,0,3.92,1.96,0,25.48,3.92,1.96,5.88,0
