stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,92.25,1831.73,0,0,0,0,0,0,0,79.07,0,0
  5-6,134.85,1710.17,0,0,0,6.13,36.78,0,24.52,24.52,0,0
  7-9,18.4,21.03,23.66,0,60.46,10.51,701.87,13.14,233.96,0,0,0
 10-12,0,15.73,28.32,3.15,47.2,6.29,424.84,18.88,169.94,3.15,9.44,6.29
