stage,blastomeres,epidermis,eye,fin.epithelia,ionocyte,mesenchyme,mucous,neural,periderm
  3-4,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0
 10-12,0,0,3.15,0,0,0,0,9.44,0
 14-21,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,16.42
 36-46,0,0,0,0,0,1.61,0,1.61,16.11
 48-58,0,0,0,0,0,0,0,1.15,11.48
 60-70,0,0,0,0,0,0,0,0,13.74
 72-82,0,1.96,0,0,0,0,0.98,0,21.6
 84-94,0,1.06,0,1.06,0,0,0,0,27.61
 96-106,0,6.56,0,1.09,0,0,1.09,1.09,26.23
108-118,0,3.06,0,0,0.77,0,0.77,0,25.28
120,0,1.96,1.96,0,0,0,1.96,0,15.68
