stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,35.3,0,0.82,0,0,0,12.31,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,122.46,0,1.61,0,0,0,30.62,0,0
 48-58,0,0,0,0,0,0,9.75,0,6.31,0,0,0,0,0.57,0,166.98,0,0,0,0,0.57,30.99,0,0
 60-70,0,0,0,2.94,0,0,54.97,0.98,10.8,0,0,0,0,1.96,0,428.93,0,0.98,0,0,0,44.17,0,0
 72-82,0,0,0,2.94,0,0,62.83,0,9.82,0,0,0,0.98,8.83,0,365.18,0,0,0.98,0,0,19.63,0,0
 84-94,0,0,0,3.19,0,0,50.98,0,9.56,0,0,1.06,0,5.31,1.06,202.85,1.06,0,1.06,0,0,15.93,0,0
 96-106,0,0,1.09,4.37,0,0,46.99,0,5.46,0,1.09,0,1.09,5.46,1.09,148.63,1.09,0,1.09,0,1.09,5.46,0,1.09
108-118,0,0,0,3.83,0.77,0.77,33.7,0,4.6,0.77,0,0,0,5.36,0,166.98,0,0,0,0,0,2.3,0.77,0
120,0,0,0,0,0,0,29.4,0,1.96,0,0,0,0,1.96,0,166.58,0,0,0,0,0,1.96,0,0
