stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,6.29,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,31.47,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,4,0,9,0,0,0,0,0,0,7,0,0,31,2,0,0,0,0,0,7,4,3,29,0,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,9.85,0,0,0,0,0,0,2.46,0,1.64,27.09,0.82,1.64,0,0,0.82,0,0,2.46,1.64,23.8,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,7.25,0,0,0,0,0,0.81,2.42,0,0,8.86,0,1.61,0,0,0,0.81,0,0.81,0,11.28,0,0,0
 48-58,0,0,0,0,0,2.87,0,6.31,0,0,0,0,0,0,1.72,0,0.57,2.87,0,0,0,0,0,0,0,1.72,0,4.59,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,3.93,1.96,0,0,0,0.98,0,0.98,0.98,0,3.93,0,0.98,0,0,0,0,0,0.98,0,2.94,0,0,0
 72-82,0,0,2.94,0,0.98,1.96,0,3.93,2.94,0,0,0,0,0,1.96,0,0,3.93,0,5.89,1.96,0,0,0,0,0.98,0,4.91,0,0,0
 84-94,0,0,3.19,0,1.06,2.12,0,9.56,4.25,0,0,1.06,1.06,0,0,0,0,1.06,0,1.06,3.19,0,0,0,0,1.06,0,3.19,1.06,0,0
 96-106,0,0,1.09,0,0,0,0,8.74,7.65,0,0,0,3.28,0,2.19,1.09,0,4.37,0,7.65,1.09,0,0,0,0,0,0,3.28,1.09,1.09,0
108-118,0,0,2.3,0,0.77,3.83,0,3.83,6.89,0,0,0,2.3,0,0.77,0,0.77,6.89,0,4.6,1.53,0,0,0,0,1.53,0,1.53,0.77,0.77,0
120,0,0,1.96,0,0,0,0,3.92,3.92,0,3.92,0,3.92,0,1.96,0,0,5.88,0,1.96,1.96,0,0,1.96,0,0,0,1.96,0,0,0
