stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,9,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,42,0,0,1,1,0,0,0,1,0,1,23,0,0,0,0,0
 24-34,0,0,0.82,0.82,11.49,1.64,4.1,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0.82,2.46,243.79,0,16.42,3.28,0,0,1.64,0,0,0,0,77.98,0,0,0.82,0,0
 36-46,0,0,0,0,5.64,0,15.31,0,0.81,0,0.81,0,0,0,0,0,0,0,0,5.64,0,0.81,642.12,0,15.31,1.61,0,0,0.81,0,0,0,0,169.19,0,0,0,0,0.81
 48-58,0,0,0,0,2.3,4.02,75.74,0.57,1.15,0,5.74,0,0,0,0,0,0,0,0.57,5.16,0,1.15,862.43,0.57,6.89,6.31,0,0,0,0,0,0,0,172.72,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,3.93,253.23,0,0,0,7.85,0,0,0,0.98,0,0.98,0,0,2.94,0.98,0.98,1288.74,0,5.89,2.94,0,0,0.98,0,0,0.98,0,196.3,0,0,0,0,0
 72-82,0,0,2.94,0,6.87,55.95,406.41,0,0,1.96,25.52,1.96,0,0,0,0,0,0.98,0,23.56,2.94,1.96,1196.65,0,11.78,1.96,0,0,1.96,0.98,0,0,0,132.52,1.96,0.98,1.96,0.98,2.94
 84-94,0,0,5.31,0,8.5,40.36,316.49,0,0,2.12,20.18,2.12,0,0,0,0,1.06,1.06,1.06,27.61,1.06,3.19,595.8,0,6.37,5.31,0,0,1.06,0,0,0,0,80.71,2.12,0,0,1.06,1.06
 96-106,0,0,1.09,0,13.11,39.34,304.9,0,0,0,20.76,6.56,0,1.09,0,1.09,0,0,0,18.58,0,1.09,485.22,0,13.11,10.93,0,0,0,0,0,0,0,26.23,2.19,1.09,1.09,1.09,0
108-118,0,0,0,0,7.66,30.64,243.58,0.77,0.77,0.77,16.85,0.77,0,0,0,0.77,1.53,0.77,0,17.62,0.77,2.3,618.13,0.77,4.6,7.66,0,1.53,1.53,0,0,0,0,16.09,2.3,0.77,1.53,0,0
120,1.96,0,0,0,13.72,21.56,117.59,1.96,0,0,13.72,9.8,0,0,3.92,0,1.96,0,0,15.68,0,0,531.1,0,1.96,15.68,0,0,1.96,0,0,0,0,15.68,0,0,1.96,0,0
