stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,2082.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,2059.56,0,6.13,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,42.91,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,23.66,0,44.69,0,0,70.98,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,609.86,18.4,0,0,218.18,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,0,40.91,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,418.55,9.44,0,0,147.91,0,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,23,1,13,0,0,3,2,0,0,0,1,0,0,0,0,11,0,0,8,226,5,1,3,5,0,1,1,29,3,16,62,0,0,1,0,0
 24-34,0,0,0,0.82,5.75,1.64,38.58,0,0,7.39,0.82,0,0,0,0,0.82,0,0,0,27.91,0,0,9.85,372.67,0.82,4.93,4.1,0,0,3.28,0,0,0,2.46,64.85,0,0,4.93,0,0.82
 36-46,0,0,0,0,1.61,0,62.04,0,0,4.83,0,0,0,0,0.81,0,0,0.81,0.81,19.34,0,1.61,3.22,138.58,0,1.61,0.81,0,0,2.42,0,0,0,0,26.59,0,0,1.61,0,0
 48-58,0.57,0,0,0,1.72,0,59.68,0.57,0.57,4.02,0,0,0,0,0,0,1.15,0.57,0,21.8,0,1.72,3.44,110.17,0,0,0.57,0,0,1.15,0,0,0,0,28.12,0,0,1.72,0.57,0.57
 60-70,0,0,0,0,1.96,0,80.48,0.98,0,11.78,0,0,0,0,0,0,1.96,0,0,38.28,0,0,3.93,114.84,0.98,4.91,0,0,0,5.89,0,0,0,0,18.65,0,0,2.94,0,0.98
 72-82,0,0,0,0,2.94,0,51.05,0,1.96,24.54,1.96,0,0.98,1.96,0,0,0.98,0,0,40.25,0,0.98,5.89,115.84,0,2.94,0,0,0,0,0,0,0,0,11.78,0,0.98,0.98,0.98,0
 84-94,0,0,2.12,0,10.62,0,23.36,0,0,10.62,2.12,0,0,2.12,1.06,0,0,0,0,22.3,1.06,2.12,5.31,39.3,0,2.12,4.25,0,0,14.87,0,0,0,0,3.19,2.12,0,2.12,2.12,0
 96-106,0,0,0,0,7.65,0,20.76,0,1.09,7.65,3.28,0,1.09,0,0,0,0,0,0,17.49,1.09,1.09,5.46,33.88,0,0,1.09,0,1.09,9.84,0,0,1.09,0,4.37,0,3.28,3.28,1.09,0
108-118,0,0,0,0,5.36,0,9.96,0.77,0.77,6.89,0,0,0,2.3,0.77,0.77,0.77,0.77,0.77,16.85,0,0.77,4.6,33.7,0,0.77,1.53,0,0,5.36,0,0,0,0,0.77,0.77,0.77,3.83,1.53,0.77
120,1.96,0,0,0,5.88,0,7.84,0,1.96,5.88,1.96,0,0,0,1.96,1.96,0,0,0,7.84,0,0,5.88,23.52,0,1.96,0,0,0,3.92,0,0,1.96,0,1.96,0,0,1.96,0,0
