stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,14.78,0,0,0,0.82,3.28,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,3.22,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,2.87,0.57,0,0,3.44,0,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.69,0.98,0,0,0,6.87,0,0,0,0,0.98,0,3.93,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,0,0.98,0,0.98,0,0.98,0,0,70.68,0,0.98,0,0,8.83,0,0.98,0,0,1.96,0,0,0,0,0,0.98
 84-94,0,0,2.12,1.06,0,0,1.06,1.06,0,0,0,0,0,0,0,178.42,0,2.12,0,0,2.12,0,0,0,1.06,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,3.28,2.19,1.09,2.19,13.11,0,0,1.09,5.46,2.19,1.09,1.09,1.09,551.89,0,4.37,1.09,1.09,54.64,0,0,0,5.46,4.37,0,1.09,1.09,1.09,2.19,1.09
108-118,0,0,0,3.83,2.3,0,10.72,0,1.53,0,3.06,1.53,0,1.53,0,1010.31,0.77,9.19,0,1.53,58.21,0,0,0.77,7.66,0,0.77,0,0.77,0,3.06,0.77
120,0,0,0,0,1.96,1.96,7.84,0,1.96,1.96,3.92,5.88,0,0,0,593.82,0,0,0,1.96,35.28,1.96,0,1.96,0,1.96,0,0,0,0,0,0
