stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,2.46,0,9.03,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,4.83,0,0,0,0,0,0,0
 48-58,0,0.57,0,1.15,0,0,0.57,0,0,0,0,8.03,2.87,0,0,0,0,0,4.59,0,12.05,0,0,0,0,0,0,2.87
 60-70,0,0,0.98,1.96,0,0,0.98,0,0,0,0,22.58,10.8,0,0,0,0.98,0.98,9.82,0.98,25.52,0,0,0,0,0,0,0.98
 72-82,0,0,0,1.96,0,0,1.96,0,0,0.98,0,29.45,24.54,0,0,3.93,0,0,2.94,0,55.95,0,1.96,0,0.98,0.98,0.98,1.96
 84-94,0,0,0,1.06,0,1.06,0,0,1.06,1.06,0,39.3,46.73,0,0,2.12,0,0,2.12,0,78.59,0,0,0,1.06,0,0,0
 96-106,0,0,0,6.56,1.09,0,0,0,0,0,0,43.71,74.31,2.19,0,5.46,0,0,10.93,0,92.89,1.09,1.09,0,0,0,1.09,2.19
108-118,0,0,0.77,4.6,0,0,2.3,0.77,0,0,0.77,42.89,50.55,0.77,0,5.36,0,0,5.36,0,72.77,0,0.77,0.77,0,0,0,0
120,0,0,1.96,1.96,0,0,1.96,0,0,0,0,47.03,45.08,0,0,9.8,0,0,7.84,0,94.07,0,0,0,1.96,0,0,0
