stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,19,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0.82,0,0,0,37.76,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,12.09,0,0.81,0,0,0,45.12,0,2.42,0,0,0.81,0,0
 48-58,0,0,1.15,2.87,0,6.31,0,0,0,5.74,1.15,0,0,0,0,0,0,0.57,3.44,0,0,2.87,0,0,0,0,0,28.69,0,2.3,0,0,0,0,0
 60-70,0,0,0.98,0,0,6.87,0,0,0,50.06,0,0,0,1.96,0.98,0,0.98,3.93,3.93,0,0,17.67,0,0,0.98,0,0,46.13,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,0,22.58,0,0.98,0,187.5,2.94,0,0,1.96,0.98,0.98,0,8.83,4.91,0,0,35.34,0,1.96,0.98,0,0,30.43,0,0.98,1.96,0,0,0,0
 84-94,0,0,10.62,1.06,0,14.87,0,1.06,1.06,185.86,5.31,0,1.06,1.06,0,0,2.12,14.87,2.12,0,1.06,13.81,1.06,1.06,2.12,0,0,116.82,1.06,2.12,0,1.06,0,1.06,0
 96-106,0,0,30.6,2.19,0,27.32,1.09,6.56,0,310.37,7.65,0,2.19,5.46,1.09,0,1.09,15.3,3.28,0,1.09,38.25,0,1.09,1.09,0,1.09,93.98,0,0,1.09,0,2.19,0,1.09
108-118,0,0,10.72,3.06,0.77,19.92,0,4.6,0.77,280.34,9.96,0,0,8.43,0,0,0,14.55,3.06,0,0.77,26.81,0,0,0,0,0,137.87,0,1.53,3.06,0,1.53,0.77,0
120,0,0,15.68,0,1.96,19.6,1.96,5.88,3.92,352.76,5.88,1.96,0,1.96,0,1.96,1.96,9.8,0,1.96,1.96,39.2,0,1.96,0,0,0,72.51,0,1.96,3.92,0,1.96,0,0
