stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,heart,lateral.line,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,5.26,0,0,0,44.69,0,0,13.14,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,44.06,3.15,0,9.44,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,4,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,1.64,9.03,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,1.61,14.5,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0,2.3,0.57,0,0,0.57,0,18.94,0,0.57,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,4.91,0.98,0,0,0,0,29.45,0,0,0,0.98,0,4.91,0,0
 72-82,0,0,0,0,5.89,0,0,0,0,1.96,37.3,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,22.3,0,0,0,1.06,0,2.12,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,0,20.76,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0.77,0,0,0,3.83,16.85,0,0,0,0.77,0,0,0,0.77
120,0,0,0,1.96,1.96,3.92,0,0,0,0,29.4,0,0,0,0,0,0,0,0
