stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,2.46,0.82,0,0,0,16.42,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,12.09,0
 48-58,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0,0,12.05,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,25.52,0
 72-82,0,0,0.98,0,0,0,0,1.96,3.93,0,12.76,0.98,0,0,0,3.93,0.98,0.98,0,3.93,3.93,0,0,0,0,0,0,1.96,0,89.33,0
 84-94,0,0,0,0,2.12,0,0,0,2.12,0,5.31,1.06,0,0,0,13.81,0,0,0,6.37,9.56,1.06,0,0,1.06,0,0,7.43,1.06,69.03,1.06
 96-106,0,1.09,0,0,3.28,1.09,2.19,1.09,52.46,0,9.84,1.09,0,0,0,13.11,2.19,1.09,0,22.95,21.86,1.09,2.19,0,1.09,0,0,10.93,0,108.19,0
108-118,0,0,0,0.77,5.36,0,0,0.77,87.32,0,2.3,0.77,0,0.77,1.53,19.15,2.3,2.3,0.77,22.98,19.92,0,0,0,6.13,0,0,25.28,0,85.79,0
120,0,1.96,0,0,3.92,0,0,0,84.27,0,1.96,7.84,1.96,0,0,17.64,0,0,0,11.76,9.8,0,1.96,0,1.96,0,0,15.68,0,76.43,0
