stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,1,5,0,0,0,0,0,0,0,1,0,0,9
 24-34,0,0,0,4.1,0,9.85,0,0,0,1.64,0.82,0,0.82,0,0.82,0,0,119.02,4.93,0,0,1.64,37.76,0,0,0.82,0,1.64,0,0.82,9.85,0,1.64,25.45
 36-46,0,0,0,0,0,5.64,0.81,0,0,1.61,0,0,0,0,0.81,0,2.42,177.25,5.64,0,0,0.81,45.12,0,0,0,0,2.42,0,0,8.86,0,0.81,12.89
 48-58,0,0,0,2.87,0.57,21.8,0,0,0,3.44,0,0,0,0,4.59,0.57,2.3,130.25,9.18,0,0.57,0.57,33.85,1.15,0,0.57,0,2.3,0,0,7.46,0,2.3,3.44
 60-70,0,0,0,2.94,0.98,10.8,0.98,0,0,5.89,0,0,0,0,1.96,0,0,97.17,3.93,0,0,0,23.56,0,0,0.98,0,1.96,0,0,1.96,0,1.96,1.96
 72-82,0,0,0,0.98,1.96,15.71,0,0.98,0.98,6.87,0,0,0,0.98,0.98,0,2.94,78.53,13.74,0,0.98,0.98,33.38,0,1.96,0,0,1.96,0,0,0,0.98,1.96,1.96
 84-94,0,0,0,2.12,3.19,15.93,0,1.06,1.06,3.19,2.12,0,0,2.12,3.19,0,1.06,139.13,5.31,1.06,0,3.19,18.05,0,1.06,0,0,8.5,2.12,0,4.25,0,0,1.06
 96-106,0,0,0,5.46,2.19,12.02,1.09,0,0,6.56,0,0,1.09,1.09,2.19,0,0,79.78,15.3,0,1.09,0,27.32,0,0,1.09,0,4.37,0,0,0,1.09,1.09,3.28
108-118,0,0.77,0,1.53,0.77,15.32,0,0.77,0,4.6,0,0,0,1.53,2.3,0,0.77,119.49,9.19,0,0,0,19.92,0.77,0,0,0,3.83,0.77,0,0.77,0,0,0.77
120,0,0,0,5.88,1.96,11.76,0,0,0,5.88,1.96,0,0,0,0,0,0,50.95,9.8,0,0,0,9.8,0,0,0,0,5.88,0,0,0,0,0,0
