stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,1,1,1,8,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,4.1,0,19.7,0.82,0,0,0,0,0,0,0,8.21,1.64,0
 36-46,0,0.81,1.61,0.81,0,0.81,0,0,0,0,0,0,1.61,1.61,13.7,0,0.81,0,0.81,0,0,0,0,4.83,0,0
 48-58,0,0,4.02,0,0,1.72,0,0,0,0,0,0,3.44,0,13.77,0,0,1.15,0,0,0,0,0,4.59,0,0.57
 60-70,0,0,6.87,0,0.98,1.96,0,0.98,0,0,0,0,2.94,0,17.67,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0.98,0,13.74,0,1.96,1.96,0,0,0,0,0,0,10.8,0,20.61,0,0.98,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,12.74,0,0,0,0,0,1.06,1.06,0,0,4.25,1.06,10.62,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,9.84,0,0,0,0,0,6.56,0,0,0,4.37,0,8.74,0,1.09,2.19,0,0,0,0,0,2.19,0,0
108-118,0,1.53,6.13,0,0.77,1.53,0.77,0,3.83,0.77,0.77,0.77,3.06,0.77,8.43,0,0.77,0,0,0,0,0.77,0,0.77,0.77,0
120,0,3.92,1.96,0,0,0,0,0,1.96,0,0,0,1.96,1.96,13.72,0,0,0,0,0,0,0,0,0,1.96,0
