stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,52.57,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,3.15,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,3,22,0,0,0,0,0,0,2,0,0,2,5,0,0,0,0
 24-34,0,0,0,1.64,0,5.75,0,0,0,0,0,0,0,0,0,0.82,2.46,1.64,26.27,0.82,0.82,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0.82
 36-46,0,0,0,0,0,9.67,0,0.81,1.61,0,0,0,0,0.81,0,0,0.81,2.42,24.17,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,5.16,0,0,1.72,0,0,0.57,0.57,0,0,0,2.3,0,17.21,0,0.57,0.57,0,0,0,0,0,0,0,2.87,0,1.15,0,0
 60-70,0,0,0,0.98,0,6.87,0,0,0,0,0,6.87,0,0,0,0,3.93,0,23.56,0,0,0.98,0,0.98,0,0,0,0.98,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,7.85,0,0.98,0,0,0,34.36,0,0,1.96,0,6.87,0,22.58,0,0,2.94,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0
 84-94,0,0,0,1.06,1.06,9.56,0,0,0,1.06,0,38.23,0,0,1.06,0,3.19,1.06,11.68,0,1.06,3.19,0,5.31,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,4.37,2.19,6.56,0,0,2.19,2.19,0,89.61,1.09,0,2.19,1.09,7.65,0,15.3,1.09,1.09,3.28,0,4.37,0,0,0,0,0,0,0,7.65,1.09,0
108-118,0,0,0,0,0,11.49,0,0,3.83,0.77,0,108.77,0,0,0,0,6.89,0,19.92,0,0.77,1.53,0,0.77,0,0,0,0,0,0,0,6.13,0,0
120,0,0,0,5.88,1.96,15.68,1.96,1.96,1.96,1.96,0,174.42,0,0,3.92,1.96,1.96,1.96,27.44,0,1.96,5.88,0,0,0,0,1.96,0,0,0,0,5.88,0,0
