stage,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,6.13,0,0,0
 14-21,0,0,0,0,0,1,0,0,1,1,0
 24-34,0,1.64,0,0,0.82,0.82,8.21,0,0,1.64,0
 36-46,0.81,0,0.81,0,0,0.81,4.83,0,0,0.81,0
 48-58,0,1.15,0,0,1.72,0.57,4.02,0,0,1.72,0.57
 60-70,0.98,1.96,0.98,0,0,0,2.94,0,0,0.98,0
 72-82,0,0.98,0,0,1.96,0,4.91,0,0,0.98,0
 84-94,1.06,0,1.06,0,1.06,0,1.06,0,0,1.06,1.06
 96-106,1.09,3.28,0,0,1.09,1.09,0,0,0,0,0
108-118,0,0.77,0.77,0,0.77,0,0,0,0,0,0
120,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0
