stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,500.76,9356.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52,0,0,0,0,0,0,0,0,0,0
  5-6,416.82,5829.28,0,6.13,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,165.5,18.39,0,0,42.91,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,49.95,55.2,0,118.29,0,2.63,257.61,0,0,0,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,2016.22,36.8,0,0,617.75,2.63,21.03,0,0,0,0,0,0,0,0,0
 10-12,3.15,53.5,0,69.23,0,9.44,207.7,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,1475.93,18.88,0,0,437.43,0,0,0,53.5,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,4,32,24,35,0,0,0,8,2,0,0,0,3,0,0,0,0,23,0,0,24,619,12,4,3,11,9,0,28,5,31,153,0,0,2,0,0
 24-34,0,0,0,0.82,6.57,4.1,98.5,0,0,0,14.78,0,0.82,0.82,0,1.64,0.82,0,0,0,38.58,0.82,0.82,10.67,561.47,0,2.46,7.39,0,11.49,0,0,0.82,4.1,120.67,0,0,5.75,0,0
 36-46,0,0,0,0.81,3.22,4.03,169.19,0,0,0,14.5,0,0,0,0.81,0.81,0.81,0,0,0,30.62,0,0.81,5.64,402.03,0.81,2.42,0.81,0,9.67,0,0,0,0,92.65,0,0,3.22,0,0.81
 48-58,0,0,0,0,2.3,1.15,162.96,0,0.57,0.57,14.92,1.15,0,0,1.15,0,0,1.15,0.57,0,40.17,0.57,2.87,11.48,157.8,0.57,0.57,2.3,0,4.59,0,0,0,0,33.28,0,0,2.3,0,0.57
 60-70,0,0,0,0,6.87,1.96,149.19,0,0,0,29.45,1.96,0,0,0.98,0,0,0,0,0.98,25.52,0,0,8.83,140.36,0.98,0,1.96,0,3.93,0,0,0,0,12.76,0,0,5.89,0.98,0
 72-82,0,0,0,0,4.91,0,61.84,0,0,3.93,26.5,0.98,0,0.98,0.98,0.98,0.98,0,0.98,0,40.25,0,0.98,10.8,101.11,0.98,2.94,0,0,5.89,0,0,0.98,0,2.94,0,0,6.87,0.98,1.96
 84-94,0,0,0,1.06,2.12,4.25,79.65,0,0,0,20.18,2.12,0,0,3.19,1.06,0,2.12,0,0,23.36,0,4.25,6.37,108.33,0,2.12,1.06,0,9.56,0,0,0,0,5.31,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,0,8.74,0,37.16,1.09,1.09,0,17.49,5.46,0,0,2.19,2.19,2.19,0,1.09,0,27.32,0,1.09,2.19,86.33,2.19,1.09,1.09,0,6.56,0,0,2.19,0,3.28,1.09,1.09,5.46,1.09,0
108-118,0,0,0,0.77,10.72,3.83,43.66,0,0.77,0.77,15.32,1.53,0,0,6.13,0,3.06,0,1.53,0,22.98,0,1.53,4.6,91.15,0.77,0.77,0.77,0,7.66,0,0,0.77,0,1.53,0,0,6.89,0,0
120,0,0,0,0,9.8,1.96,29.4,0,1.96,0,25.48,0,0,0,5.88,0,0,1.96,0,0,13.72,0,0,1.96,86.23,0,0,5.88,0,7.84,0,0,0,0,5.88,0,0,9.8,0,1.96
