stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,7,0,2,0,0,0,0,0,0,0,0,2,0,0,27,1,2,1,4,1,9,3,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,22.16,0,0.82,0,0,0,0,3.28,0,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.36,0,0,0,0,0,0,1.61,0,2.42
 48-58,0,0,2.3,0,0,0,0,0,0.57,0,0,0,0,0,39.59,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,14.72,0,2.94,0,0,1.96,0,1.96,0,0,0,0,101.1,0,0,0,0,0,0,0.98,0,1.96
 72-82,1.96,0.98,38.28,0,2.94,0,0,0,0,0,0,3.93,0,1.96,182.59,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,31.86,0,1.06,0,0,2.12,0,0,0,6.37,0,0,83.9,0,0,1.06,0,0,0,3.19,0,2.12
 96-106,1.09,0,38.25,0,2.19,1.09,0,0,0,0,0,5.46,0,0,95.08,0,1.09,0,0,0,0,2.19,1.09,3.28
108-118,1.53,0.77,40.6,0.77,3.06,0,0,2.3,0,0.77,1.53,1.53,0,0,123.32,0,0,0,0,0,0,1.53,0.77,0.77
120,0,0,27.44,0,0,0,0,1.96,0,0,0,3.92,0,0,133.27,0,0,0,0,0,0,1.96,0,0
