stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,4,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,1,4,1,1,6,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,4.93,0,0,0,0,0,0,0.82,0,0,0,0.82,3.28,0.82,0,0.82,28.73,0.82,0,0,0,1.64,0,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,6.45,0,0,0.81,0,0,0,0,0,0,0,0,4.03,0,0,1.61,32.23,3.22,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,2.3,2.3,0,5.16,0,0,2.3,0,0,0,0,0,0,0,0,7.46,0,0,0,40.17,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,1.96,0,0.98,6.87,0,13.74,0.98,0,12.76,0,0,0.98,0,0,0,0,0,15.7,0,0,0,80.48,0,0,0,0,3.93,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,16.69,0,0.98,3.93,0,27.49,0,0.98,17.67,1.96,0,1.96,0,0,0,0.98,0,36.32,0.98,0,0,108.96,0,0,0,0,1.96,0,0,0,3.93,2.94,0.98,0,0,0
 84-94,0,0,21.24,1.06,4.25,8.5,0,10.62,0,0,12.74,16.99,1.06,0,0,0,0,0,0,49.92,0,0,1.06,83.9,1.06,0,3.19,0,0,0,1.06,0,0,38.23,0,0,1.06,0
 96-106,0,0,34.97,0,4.37,7.65,1.09,33.88,0,2.19,13.11,29.51,0,3.28,2.19,0,1.09,3.28,0,89.61,0,0,2.19,104.91,0,0,3.28,0,6.56,0,1.09,0,4.37,86.33,1.09,4.37,1.09,2.19
108-118,0,0,26.81,2.3,11.49,4.6,0,37.53,0.77,0.77,20.68,32.94,0,3.06,0.77,0.77,0,2.3,0.77,118.72,0,2.3,1.53,114.13,0.77,2.3,3.06,0,3.83,0,0.77,0,3.83,101.87,0,2.3,0,0.77
120,0,0,23.52,0,11.76,9.8,0,23.52,0,5.88,25.48,11.76,0,3.92,0,0,0,1.96,0,107.79,0,0,0,192.06,0,1.96,3.92,0,3.92,0,0,0,3.92,31.36,0,1.96,0,0
