stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,52.57,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,23.36,0,0,0,0,0.81,0,0,0,0.81,0,0,4.03,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0,0,0,131.4,0,0,0,0,0,0,0,0.57,3.44,0,0.57,5.16,0,0,0,0,0,2.3,0,0
 60-70,0,0,0.98,0,0,577.13,0,3.93,0,0,0,0,0,0.98,14.72,1.96,0,13.74,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0.98,0,0,447.64,0,5.89,0,0,0,0,0.98,0,29.45,0,1.96,28.47,0.98,0,0,0,0,0.98,0,1.96
 84-94,0,0,1.06,1.06,0,269.76,2.12,6.37,0,1.06,0,2.12,0,4.25,35.05,2.12,0,14.87,0,1.06,0,0,0,0,2.12,1.06
 96-106,0,0,2.19,0,0,197.81,0,4.37,0,1.09,0,4.37,1.09,2.19,18.58,0,2.19,19.67,1.09,1.09,0,1.09,0,1.09,0,0
108-118,0,0,1.53,0.77,0.77,130.98,0.77,1.53,0,0,0,0.77,0,2.3,15.32,0,0.77,10.72,0,1.53,0,0.77,0,0.77,0,0
120,0,0,0,0,0,84.27,0,3.92,0,0,0,0,1.96,0,15.68,0,0,5.88,0,0,0,1.96,0,0,0,0
