stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,188.82,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,191.97,232.88,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,2,58,147,69,0,22,0,13,0,1,90,2,9,0,2,0,0,1,0,29,0,0,7,327,177,1,16,25,0,0,0,4,6,9,7,133,0,33,0,0
 24-34,0,0.82,22.16,78.8,6.57,0,62.39,0,37.76,15.6,8.21,25.45,0,19.7,0,1.64,0.82,0.82,0.82,0,107.53,0,0,64.85,560.64,21.34,0.82,11.49,0,0.82,0.82,0,0,8.21,22.16,15.6,65.67,0,103.43,0,0.82
 36-46,0,0,2.42,35.45,0,0,33.03,4.83,8.06,19.34,62.04,4.83,0,18.53,0,0,4.03,0,1.61,0,239.28,0.81,2.42,53.98,514.82,2.42,0,11.28,0,0,1.61,0.81,0,3.22,20.95,0,70.9,0.81,66.06,0,0
 48-58,0,0,0.57,26.97,0,0,60.82,0.57,9.75,10.33,102.14,1.15,0,13.2,0,0,8.61,0,1.15,0.57,518.72,0.57,8.03,34.43,527.9,0.57,0,25.82,0,0.57,1.72,0,0,1.15,12.62,0,61.97,2.3,79.19,0.57,3.44
 60-70,0,0,0,18.65,1.96,0,89.32,1.96,1.96,8.83,88.34,4.91,0,10.8,5.89,0,19.63,0,0.98,0.98,971.71,0,25.52,29.45,602.65,0,0,27.48,0,2.94,0,0,0,2.94,10.8,0,26.5,18.65,109.93,8.83,2.94
 72-82,0,0,1.96,20.61,5.89,0,150.19,1.96,2.94,17.67,160.99,3.93,0,16.69,5.89,0,6.87,2.94,2.94,0.98,1494.09,2.94,39.27,44.17,587.03,0.98,0.98,61.84,0,9.82,2.94,0,0,1.96,1.96,0,20.61,54.97,231.67,32.39,4.91
 84-94,0,0,2.12,48.85,4.25,0,271.88,1.06,4.25,14.87,114.7,13.81,0,19.12,9.56,2.12,22.3,1.06,1.06,0,1039.73,0,29.74,35.05,299.49,1.06,3.19,70.09,0,4.25,4.25,0,0,10.62,12.74,0,15.93,54.16,204.97,30.8,0
 96-106,0,0,0,56.83,8.74,1.09,233.87,2.19,5.46,6.56,125.68,18.58,0,18.58,9.84,2.19,15.3,0,2.19,0,1004.33,1.09,16.39,21.86,320.2,1.09,2.19,107.1,0,7.65,2.19,0,0,5.46,10.93,0,6.56,56.83,246.98,29.51,3.28
108-118,0,0,3.06,37.53,3.83,0.77,143.24,0,3.06,9.19,111.06,10.72,0,9.19,5.36,6.89,21.45,0.77,0.77,0,830.3,0,19.92,12.26,306.39,0.77,0.77,76.6,0,8.43,1.53,0,0,11.49,12.26,0,3.83,33.7,196.09,22.98,3.06
120,0,0,0,21.56,1.96,0,74.47,0,0,0,94.07,3.92,0,11.76,5.88,0,9.8,1.96,0,0,625.17,0,17.64,5.88,241.05,0,1.96,47.03,0,11.76,3.92,0,0,0,5.88,0,1.96,37.24,184.22,21.56,0
