stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,65.72,0,0,31.54,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,2.46,0,1.64,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.42,0.81,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.15,0,0,0,2.3,0,1.15,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0,1.96,0.98,0,1.96,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,0.98,31.41,0,0,1.96,0,0,0.98,1.96,0,2.94,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,52.04,0,0,1.06,0,0,0,2.12,0,3.19,0,0,0,3.19,0,0,0,0,0
 96-106,0,0,2.19,0,2.19,1.09,4.37,0,0,0,178.13,0,1.09,3.28,0,0,3.28,3.28,0,37.16,0,0,0,2.19,0,2.19,0,0,0
108-118,0,0,0,0,2.3,0,3.06,0,0.77,1.53,337.02,0,0,3.06,1.53,2.3,2.3,0.77,0.77,29.11,0,0,0,2.3,0.77,0,0.77,0,0
120,0,0,0,0,0,0,5.88,0,0,0,284.17,0,0,0,0,1.96,5.88,1.96,0,47.03,0,3.92,0,0,0,0,0,1.96,1.96
