stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0,15.6,0,0,0.82,0,4.93,0
 36-46,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0,8.86,0,0,7.25,0,7.25,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,0,2.3,0,0,13.2,0,3.44,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,61.84,0,0,0
 72-82,0,0,0.98,1.96,0,2.94,0,0,0,1.96,0.98,0,3.93,0,0.98,186.52,0,0.98,0.98
 84-94,2.12,0,1.06,3.19,0,0,0,1.06,1.06,0,1.06,0,1.06,0,0,443.93,0,1.06,0
 96-106,0,2.19,3.28,3.28,0,1.09,1.09,4.37,0,2.19,3.28,0,7.65,1.09,0,621.83,0,0,0
108-118,0.77,0,0.77,3.83,0.77,0.77,0,5.36,0,1.53,5.36,0.77,3.06,0,0,497.88,0,0,0
120,1.96,0,0,9.8,0,0,0,3.92,0,0,3.92,1.96,0,0,0,309.65,0,0,0
