stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,5,73,40,0,36,0,0,0,5,4,0,2,0,3,0,0,0,0,24,0,0,41,306,43,2,4,16,0,7,1,75,2,16,117,128,0,0,3,0,2
 24-34,0,0.82,5.75,43.51,8.21,0,122.31,58.28,1.64,4.93,16.42,1.64,0,3.28,3.28,9.03,0.82,0.82,2.46,3.28,104.25,3.28,0.82,59.92,879.96,13.13,14.78,8.21,0,0,49.25,0,0.82,0,39.4,104.25,210.96,0,0,21.34,0,3.28
 36-46,0,0,0,18.53,3.22,0,156.3,89.43,0,3.22,31.42,0,0,4.03,1.61,2.42,0.81,2.42,1.61,2.42,86.21,1.61,2.42,37.06,626.01,6.45,6.45,5.64,0,0,30.62,0,0,0.81,28.2,7.25,124.07,0,0,12.09,0,1.61
 48-58,0,1.15,0.57,16.07,1.72,0,336.25,54.51,5.16,6.89,68.86,1.72,0,1.72,1.15,1.15,1.72,1.72,2.3,3.44,123.37,0,2.87,27.54,678.24,6.89,3.44,4.59,0,0,26.97,0,0,1.15,14.35,0,137.71,0,0,12.62,0.57,2.3
 60-70,0,0,0,16.69,1.96,0,362.18,50.06,1.96,4.91,67.73,0,0,1.96,4.91,0.98,0,1.96,0,0,103.06,1.96,4.91,19.63,523.15,1.96,5.89,3.93,0,0.98,25.52,0,0,0,27.48,0,60.85,0,0.98,2.94,0.98,3.93
 72-82,0,2.94,0,22.58,4.91,0,323.95,6.87,1.96,7.85,68.72,13.74,0.98,2.94,6.87,3.93,4.91,2.94,1.96,0,166.88,0.98,9.82,26.5,588.02,2.94,9.82,4.91,0,3.93,21.6,0,0,1.96,7.85,0,48.1,1.96,7.85,23.56,1.96,2.94
 84-94,0,3.19,0,32.92,6.37,0,162.49,10.62,5.31,6.37,45.67,9.56,0,4.25,11.68,5.31,5.31,1.06,0,1.06,105.14,2.12,9.56,19.12,220.9,2.12,9.56,5.31,0,0,32.92,1.06,0,7.43,4.25,0,27.61,9.56,2.12,13.81,2.12,2.12
 96-106,0,0,0,36.06,6.56,0,100.54,33.88,1.09,5.46,33.88,7.65,0,1.09,17.49,8.74,8.74,3.28,2.19,1.09,71.04,2.19,5.46,16.39,177.04,4.37,9.84,5.46,0,2.19,57.92,0,0,2.19,32.79,0,7.65,8.74,1.09,6.56,4.37,5.46
108-118,0,1.53,0,32.17,4.6,7.66,87.32,16.09,3.83,3.83,33.7,9.96,0,0.77,8.43,4.6,9.96,1.53,1.53,1.53,65.87,3.06,6.13,13.79,218.3,2.3,9.19,5.36,0,2.3,17.62,0,0,1.53,3.83,0,9.96,4.6,0.77,9.19,0,1.53
120,0,1.96,1.96,33.32,9.8,1.96,86.23,19.6,3.92,3.92,48.99,9.8,0,0,9.8,5.88,5.88,5.88,3.92,1.96,39.2,0,1.96,17.64,209.7,0,7.84,9.8,0,1.96,9.8,0,0,3.92,5.88,0,1.96,3.92,0,5.88,3.92,3.92
