stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,303.09,7195.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0
  5-6,110.33,2084.08,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,18.39,0,0,0,0
  7-9,2.63,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,73.6,0,0,0,21.03,2.63,5.26,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,3
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,4.93,0,1.64,0.82,0,0,0,0,2.46,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,2.42,0,2.42,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,1.72,0,0,0.57,0,0,0,0,1.72,0.57,5.74,0,0,0.57,0,0,0,0,0,1.15
 60-70,0,0,0,0,3.93,0,0,0.98,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,4.91,0,0,0,0,0,0,0.98,0.98,0.98,1.96,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,1.06,0,0,2.12,0,5.31,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,0,0,0,2.19,0,3.28,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0,0,1.53,0,0,0.77,0,0,0,1.53,0,0,0,0,0,0.77,0,1.53,0,0,1.53,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
