stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,1.64,0.82,0,0.82,7.39,0,0.82,0.82,0,0.82,0,0,0,0
 36-46,0,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,0,12.89,0,0,0.81,0,3.22,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,0.57,0,0,0,10.9,0,0,0.57,0,2.3,0,0,0,0.57
 60-70,0,0,0,7.85,0,1.96,0,0,0,0,4.91,0,0,0,17.67,0.98,0,0.98,0,3.93,0,0.98,0,0.98
 72-82,0,0,0,6.87,0,3.93,0,0,0.98,0,3.93,1.96,0,0.98,17.67,0,0,0,0,1.96,0,0,0,0
 84-94,1.06,1.06,1.06,4.25,0,3.19,0,1.06,0,0,4.25,0,1.06,2.12,14.87,0,1.06,11.68,0,2.12,1.06,0,0,1.06
 96-106,0,0,0,5.46,0,4.37,0,0,1.09,0,6.56,0,0,0,6.56,0,1.09,7.65,0,0,0,0,1.09,1.09
108-118,0,0,0,4.6,0,0.77,3.06,0,1.53,0.77,1.53,0,0,0,5.36,0,0,3.83,0,0,0,0.77,0,0.77
120,0,5.88,0,3.92,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,9.8,0,0,0,0,0,0
