stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0,0,1.64,0,2.46,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,1.61,0,22.56,0,0.81,0,0.81,0,4.83,0,0
 48-58,0,0,0,5.16,0.57,0.57,0,0,0,0,1.15,0,17.79,0,0.57,0,1.15,0,4.02,0.57,0
 60-70,0,0.98,0,10.8,0,1.96,0,0.98,0,0,2.94,0,30.43,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,16.69,0,2.94,0,0,0.98,0,4.91,0,25.52,0,0,0,3.93,0,1.96,0,0
 84-94,0,0,0,6.37,0,3.19,0,0,1.06,0,4.25,1.06,11.68,0,0,1.06,3.19,0,3.19,0,0
 96-106,0,1.09,0,5.46,0,3.28,0,0,0,0,2.19,0,5.46,0,0,1.09,1.09,0,0,0,1.09
108-118,0,2.3,0,5.36,0,0.77,2.3,0,0,0,0,0,6.13,0.77,0,0.77,2.3,0,0,0,1.53
120,0,0,0,5.88,0,1.96,0,0,0,0,3.92,0,11.76,0,0,0,0,1.96,0,0,1.96
