stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0,5.75,0
 36-46,0,3.22,0,0,1.61,0,0,0,0,0,1.61,0,0,5.64,0.81
 48-58,0,1.72,0,0.57,0,0,0.57,0,0,0,1.15,0,0,2.87,1.15
 60-70,0,3.93,0,0.98,1.96,0,0.98,0,0,0,0,0,0,4.91,0
 72-82,0,5.89,0,0,0.98,0,0,0,0,0.98,3.93,0,0,2.94,0
 84-94,0,20.18,0,0,3.19,1.06,0,0,1.06,0,0,0,1.06,38.23,0
 96-106,0,13.11,1.09,0,3.28,0,0,1.09,0,0,2.19,0,0,29.51,0
108-118,0,13.02,0,1.53,8.43,1.53,0,0,0.77,0,0,0,0,15.32,0
120,0,17.64,0,0,1.96,0,1.96,1.96,0,0,0,0,0,19.6,0
