stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,1,0,22,1,0,1,0,0,1,0,0,4,0
 24-34,0,0,0,0,0.82,0,13.95,0,0,0,0,0.82,0,0,0.82,0,0,16.42,0,2.46,0,0,0,0.82,1.64,0,7.39,0.82
 36-46,0,0,0,0,0,0,4.03,0.81,0,1.61,0,0,0,0,0,0.81,1.61,15.31,0,0.81,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0.57,0,0,8.61,0,0,0,0,0,0,0,0,1.15,0,9.75,0,1.15,0.57,0,0,0,0,0,1.72,0.57
 60-70,0,0.98,0,0,0,0,4.91,0,1.96,0.98,0,0.98,0,0,1.96,0.98,0,12.76,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0.98,0,5.89,0,0.98,0.98,1.96,3.93,0.98,0,59.88,3.93,0,17.67,0,0,0.98,0,0,1.96,3.93,0,1.96,3.93
 84-94,0,0,0,0,2.12,1.06,8.5,0,1.06,1.06,0,1.06,2.12,0,94.52,2.12,0,6.37,0,0,1.06,0,0,0,2.12,0,0,1.06
 96-106,0,1.09,0,0,3.28,5.46,15.3,0,1.09,1.09,6.56,1.09,2.19,0,122.4,9.84,0,21.86,0,0,0,0,0,1.09,4.37,0,0,4.37
108-118,0,0.77,0.77,1.53,0,5.36,7.66,0,0.77,2.3,3.06,0,0.77,2.3,276.51,6.13,1.53,21.45,0,0,0.77,0,0.77,3.06,4.6,0.77,0,3.06
120,0,1.96,0,0,0,1.96,7.84,0,0,0,0,3.92,0,0,78.39,5.88,0,9.8,0,0,0,0,0,0,5.88,0,0,0
