stage,epidermis,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,periderm
 14-21,0,0,0,0,0,0,0,0,0,0,0,6
 24-34,0,0,0,0,0,0,0.82,0.82,0,0.82,0,31.19
 36-46,0.81,0,0.81,0,0,0,0,0,0,1.61,0,30.62
 48-58,0,0,0,0,0,0,0,0,0,2.3,0.57,18.94
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,23.56
 72-82,1.96,0.98,0,0,0.98,3.93,0,0,0,0,0,18.65
 84-94,2.12,0,1.06,0,0,1.06,0,2.12,1.06,1.06,0,56.29
 96-106,8.74,1.09,1.09,0,0,3.28,0,2.19,0,1.09,0,57.92
108-118,3.06,0.77,0,0.77,3.06,4.6,0,2.3,0.77,0.77,0,49.02
120,9.8,1.96,1.96,0,1.96,3.92,0,0,0,1.96,0,29.4
