stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,1265.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,116.46,1661.13,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,55.17,0,0,0,24.52,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,15.77,15.77,0,28.92,0,0,42.06,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,502.08,13.14,0,0,194.52,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,18.88,0,0,31.47,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,308.4,18.88,0,0,94.41,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,11,6,3,0,0,0,0,1,1,0,0,0,0,3,0,0,3,87,0,0,1,2,0,0,0,11,1,5,10,20,0,0,0
 24-34,0,0,0,0,0,0,7.39,0.82,0,1.64,0,0,0.82,0,0.82,0,0,6.57,0,0,0.82,62.39,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0.82,0.82
 36-46,0,0,0,0,0,0,5.64,0,0,4.83,0,0,0,0,0,0,0,4.03,0,0,0.81,41.89,0,0.81,0,0,0,0.81,0,0,0,0,0,8.86,0,2.42,0
 48-58,0,0,0,0,0.57,0,9.75,0,0,5.74,0,0,0,0.57,0,0.57,0,4.59,1.15,0,2.3,27.54,0,0.57,0,0,0,0.57,0,0,0,0,0,6.89,0,0.57,0
 60-70,0,0,0,0,0,0,22.58,0.98,0,4.91,0,0,0.98,0,0.98,0,0,15.7,0,0.98,1.96,23.56,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,1.96,0,19.63,0,0.98,8.83,0,0,0,0,0,0,2.94,13.74,0,0.98,2.94,32.39,0.98,0,0,0,0,0,0,0,0,0,0,2.94,0,1.96,0
 84-94,0,0,0,0,1.06,0,10.62,0,0,3.19,1.06,0,0,1.06,0,0,0,12.74,0,1.06,2.12,8.5,0,0,1.06,0,0,2.12,0,0,0,1.06,0,3.19,2.12,1.06,0
 96-106,0,0,0,0,2.19,0,3.28,0,1.09,2.19,0,0,0,0,0,0,1.09,1.09,0,0,2.19,4.37,0,1.09,1.09,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0,2.3,0,0.77,3.06,0.77,0,0,0,0,0,0,2.3,0,0,0.77,6.13,0,1.53,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,5.88,0,1.96,0,3.92,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
