stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,13.14,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,32,0,2,1,0,2,0,3,0,3,18,0,0,2,0,0
 24-34,0,0,0,0,9.03,0.82,0,18.88,0,0,0,3.28,0,0,0,0.82,1.64,0,0,0.82,1.64,10.67,1.64,0,5.75,107.53,0.82,3.28,1.64,0,15.6,0,0,3.28,0.82,19.7,0,0,7.39,0,1.64
 36-46,0,0,0,0,2.42,0,0,29,0,0,0,2.42,0,0.81,0,0.81,0,0.81,0.81,0,1.61,12.09,0,0,2.42,129.71,3.22,4.03,0.81,0,9.67,0,0,0.81,0,20.95,0,0,3.22,0,3.22
 48-58,0,0,0,0,2.3,0.57,0,51.64,0,0,0,6.89,0.57,0.57,0.57,2.87,1.15,0.57,0,0,1.72,14.35,0,1.72,0.57,136.57,0,0.57,0.57,0,6.89,0,0,0.57,0,39.59,0,0,3.44,0,1.15
 60-70,0,0,0,0,1.96,0,0,79.5,0.98,0.98,0,8.83,0,0.98,0,2.94,0.98,0,0,0,1.96,19.63,0,0.98,0.98,159.99,0.98,2.94,0.98,0,7.85,0,0,0,0,15.7,0,0,3.93,0,2.94
 72-82,0,0,0,0,6.87,2.94,0,112.89,0,0.98,2.94,13.74,0.98,0,0,5.89,0.98,0,1.96,0,0.98,32.39,0.98,2.94,2.94,127.62,0.98,6.87,2.94,0,7.85,0,0,0,0,8.83,1.96,0.98,6.87,0.98,5.89
 84-94,0,0,2.12,0,5.31,4.25,0,74.34,0,2.12,0,11.68,0,0,2.12,8.5,1.06,2.12,1.06,1.06,1.06,21.24,5.31,2.12,1.06,57.35,2.12,0,0,0,21.24,0,0,1.06,0,10.62,0,0,4.25,0,2.12
 96-106,1.09,0,0,0,14.21,5.46,0,60.11,1.09,1.09,0,6.56,4.37,0,0,9.84,2.19,4.37,0,2.19,2.19,24.04,1.09,3.28,2.19,49.18,1.09,1.09,2.19,0,21.86,0,0,0,0,2.19,1.09,0,8.74,0,2.19
108-118,0,0,0.77,0,6.13,3.83,0.77,47.49,0.77,2.3,0.77,6.89,3.06,0,0.77,6.13,1.53,6.89,2.3,0.77,0,12.26,0.77,0,0,57.45,0.77,0.77,1.53,0,20.68,0,0,0.77,0,3.06,1.53,0,3.06,0,3.06
120,0,0,0,0,5.88,3.92,0,21.56,0,1.96,0,0,1.96,0,0,11.76,0,0,0,1.96,0,13.72,3.92,0,0,62.71,0,5.88,1.96,0,11.76,0,0,0,0,1.96,3.92,1.96,3.92,0,1.96
