stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,281.96,0,0,0,0,0,0,0,0,12.26,0,0
  7-9,13.14,7.89,5.26,0,21.03,7.89,0,297.04,5.26,0,84.12,0,0
 10-12,0,0,0,0,6.29,3.15,0,40.91,0,0,12.59,0,3.15
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0
