stage,erythrocytes,eye,fast.muscle,fin.mesenchyme,heart,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,slow.muscle,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0.57,4.02,0,0,0.57,0.57,0,1.15,0,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,0.98,0.98,0,0.98,0.98,0,0,0.98,0.98,0
 72-82,0,0.98,1.96,0,0,2.94,1.96,0,2.94,1.96,0,0,0,1.96,0
 84-94,1.06,0,0,0,0,2.12,4.25,1.06,3.19,0,0,0,0,4.25,0
 96-106,0,0,0,0,1.09,3.28,4.37,0,3.28,0,0,2.19,0,1.09,1.09
108-118,0,0,0.77,0,0,2.3,3.06,0.77,3.06,0,0,2.3,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
