stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,21,0,0,0,0,0
 24-34,0,1.64,2.46,0,4.93,0,0.82,0,0,0,0,0,0,1.64,0,0.82,119.84,0,23.8,0,0,0,0.82,0,51.71,0,0,2.46,0,0
 36-46,0,0,0.81,0,4.03,0,0,0,0,0,0,0,0,2.42,0,0.81,174.83,0,37.06,0,0,0,0,0,76.54,0,0,0,0,0
 48-58,0,0,0.57,0,48.2,0.57,2.87,0,0,0,0,0,0,4.59,0,0.57,201.98,0,10.9,0,0,0,1.15,0,50.49,0,0,0,0,0
 60-70,0,0,1.96,0,153.12,0,9.82,0,0,0,0,0,0,5.89,0,0,379.85,0,18.65,0,0,0,0.98,0,59.87,0,0,0.98,0,0.98
 72-82,0,0,0,0,132.52,0.98,18.65,0,0,0,0,0,0,7.85,0,0,368.12,0,45.16,0,0,0,0,0,34.36,0.98,0,0.98,0,0
 84-94,0,0,3.19,2.12,75.4,0,26.55,0,0,0,0,0,1.06,5.31,3.19,3.19,203.91,0,22.3,1.06,0,0,1.06,0,13.81,0,0,0,0,1.06
 96-106,0,0,2.19,2.19,68.85,0,15.3,1.09,1.09,1.09,0,0,0,12.02,0,0,190.16,0,43.71,1.09,0,0,4.37,0,13.11,0,0,0,1.09,0
108-118,0,0,3.83,0.77,50.55,0,30.64,0,0,0,0.77,0.77,0,5.36,0,0,219.07,0.77,16.85,1.53,0,0.77,0,0,6.13,0.77,0.77,0,0,0
120,0,0,0,0,70.55,0,43.12,0,0,0,0,0,1.96,13.72,0,0,297.89,0,25.48,3.92,0,0,1.96,0,23.52,0,0,3.92,0,0
