stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,25,0,0,0,1,1,0,4,0,0,3,0,0
 24-34,0,0,0,0,0.82,0.82,0,1.64,0,0,0,0,0,0,0,6.57,0.82,0,0,5.75,0,0,140.37,0,4.93,0.82,0,0.82,0.82,24.63,0,0,9.85,0,0
 36-46,0,0,0,0,0.81,0,0,33.84,0,0,0,0.81,0,0,0,3.22,0,0,0,1.61,0,0.81,877.37,0.81,8.06,0.81,0,0,0,128.1,0,0,5.64,0,0
 48-58,0,0,0,0,1.72,0,0,103.28,0.57,1.15,0,6.89,0,0,0,8.61,0,0.57,0.57,9.18,0,0.57,978.91,0.57,2.3,0,0,0,0,208.86,0,0,4.59,0,0.57
 60-70,0,0,0,0,0.98,0,0,104.04,0,0,0,8.83,0.98,0,0,8.83,0,0,0,10.8,0,0,786.2,0,5.89,0,0,0.98,0,152.14,0,0,5.89,0,0.98
 72-82,0,0,0,0,2.94,0,0,77.55,0,0,0.98,10.8,0.98,0,0,15.71,1.96,0,0,15.71,0,1.96,424.08,0,0.98,0,0,0.98,0,75.59,0,2.94,12.76,0.98,0
 84-94,0,0,1.06,0,1.06,0,0,61.6,0,0,0,9.56,2.12,0,0,25.49,0,0,1.06,9.56,1.06,1.06,195.41,0,3.19,0,0,1.06,0,40.36,0,0,7.43,0,0
 96-106,0,0,0,0,1.09,1.09,0,64.48,1.09,0,0,9.84,1.09,0,1.09,22.95,1.09,0,0,14.21,0,1.09,166.11,0,10.93,0,0,5.46,0,17.49,0,0,3.28,0,0
108-118,0,0,0,0.77,3.83,0.77,0.77,48.26,0,0.77,0,7.66,3.06,0,0,27.57,0.77,0,0,7.66,0.77,0,193.79,0,7.66,0,0,1.53,0,9.96,0.77,0.77,6.89,0,0
120,0,0,0,0,0,0,1.96,70.55,0,1.96,0,21.56,3.92,0,0,19.6,3.92,0,0,7.84,0,0,188.14,1.96,1.96,0,0,1.96,0,9.8,0,0,5.88,0,0
