stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,18.88,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,4,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,0,0,1.64,9.03,0,0,0.82,0,0.82,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,4.83,0.81,0.81,0.81,0,0.81,0,0,3.22,0,0,0
 48-58,0,0.57,0,0,0,1.15,0,0.57,0,1.15,0,0,0.57,0.57,0.57,0.57,0.57,1.15,0,0,0,0,0.57,0,0,1.72,0,0,0
 60-70,0,0,0,3.93,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,1.09,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0,2.3,0,0,0.77,0,0,0,0.77,0,0.77,0,0,0,0,1.53,0,0.77,0,0,0.77,0,0,0,0.77,0.77,0
120,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
