stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,1,0,0,1,0,4,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0.82,142.83,0,0,1.64,0,0,0,0,3.28,48.43,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,2.42,0,0,0,0,0,0,0,0,4.03,0,0,344.02,0,2.42,0.81,0,0,0.81,0,0.81,48.34,0,0,4.83,0,0
 48-58,0,0,0,0.57,0,0,43.04,0,0,1.15,4.59,0,0,0,0,1.15,0,0.57,0.57,5.74,0.57,0.57,445.85,0,1.15,0,0,0,0.57,0,0,54.51,0,0,6.31,0,0
 60-70,0,0,0,0,0.98,0,183.54,0,0,0,4.91,0,0,0.98,0,0.98,0.98,0,0,7.85,0,0.98,788.16,0,0.98,0.98,0,0.98,0.98,0,0,76.56,0,0,6.87,0,1.96
 72-82,0,0,1.96,7.85,2.94,0,295.48,0,1.96,1.96,14.72,0.98,0,0,0.98,2.94,0,0.98,0,20.61,0.98,0,779.44,0,3.93,2.94,0,0,0.98,0,0,61.84,0,0,18.65,0.98,0
 84-94,0,0,1.06,1.06,1.06,0,183.73,1.06,1.06,1.06,18.05,0,0,1.06,0,4.25,1.06,0,1.06,12.74,0,3.19,413.13,0,1.06,0,0,0,3.19,0,0,29.74,0,1.06,10.62,0,2.12
 96-106,0,0,0,4.37,4.37,0,138.79,1.09,0,0,9.84,0,0,1.09,2.19,7.65,0,1.09,1.09,20.76,0,1.09,335.5,0,2.19,3.28,0,0,4.37,0,1.09,10.93,1.09,0,14.21,0,0
108-118,0,0,1.53,6.13,0,0.77,119.49,0,0,0,12.26,0.77,0,0.77,1.53,10.72,0.77,0.77,0,9.19,0,0.77,427.41,0,2.3,0.77,0,0,0.77,0,0,8.43,0.77,0,6.89,0.77,0
120,0,0,1.96,3.92,1.96,1.96,143.06,0,1.96,1.96,11.76,0,0,0,1.96,9.8,0,0,0,9.8,1.96,5.88,411.55,1.96,0,1.96,0,0,3.92,0,0,27.44,0,0,9.8,0,0
