stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,6,102,37,0,82,0,0,0,23,3,0,1,0,1,0,0,0,1,63,0,0,40,918,17,3,10,23,0,4,2,124,3,2,110,263,0,0,5,0,0
 24-34,0,7.39,55,8.21,0,275.81,0,3.28,4.1,40.22,6.57,0,3.28,3.28,2.46,1.64,5.75,4.1,1.64,171.56,0.82,0.82,70.59,1759.09,4.1,9.85,22.16,0,0,25.45,0,0,3.28,2.46,26.27,358.71,0,0,32.01,0,1.64
 36-46,0,0.81,24.17,2.42,0,345.63,0,1.61,8.06,55.59,2.42,0,1.61,2.42,1.61,1.61,2.42,0.81,0.81,159.52,1.61,2.42,34.64,1031.26,1.61,15.31,4.83,0,0,20.14,0.81,1.61,0,0,0,223.98,0,0,12.09,0,4.83
 48-58,0.57,0.57,17.21,1.15,0,419.45,0.57,4.59,6.89,92.38,4.59,0,2.3,1.15,1.15,3.44,4.02,4.02,0,211.16,1.15,5.74,32.71,552.57,3.44,5.16,8.61,0,1.15,14.92,0,0,0.57,0,0,119.35,0,1.72,12.62,0,1.72
 60-70,0.98,0,37.3,0,0.98,316.05,0,3.93,5.89,83.43,10.8,0.98,1.96,6.87,1.96,0.98,0.98,4.91,0.98,199.25,0.98,11.78,23.56,386.72,2.94,11.78,2.94,0,0.98,18.65,0,0,3.93,0.98,0,45.15,0.98,5.89,13.74,0,1.96
 72-82,5.89,0,39.27,4.91,0,275.85,1.96,2.94,9.82,110.93,14.72,0,3.93,10.8,2.94,0.98,6.87,3.93,1.96,257.2,1.96,5.89,31.41,408.37,4.91,13.74,6.87,0,3.93,17.67,0,0,1.96,0,0,41.23,1.96,3.93,27.49,4.91,1.96
 84-94,1.06,0,44.61,6.37,0,196.48,0,6.37,8.5,58.41,11.68,0,4.25,26.55,10.62,2.12,3.19,5.31,0,165.68,1.06,13.81,30.8,233.65,3.19,12.74,11.68,1.06,2.12,44.61,0,0,3.19,0,0,13.81,5.31,4.25,25.49,10.62,2.12
 96-106,1.09,0,45.9,12.02,0,127.86,1.09,4.37,4.37,54.64,9.84,0,2.19,25.14,3.28,1.09,8.74,2.19,1.09,151.91,4.37,12.02,20.76,224.03,2.19,8.74,4.37,0,3.28,37.16,0,0,2.19,1.09,0,7.65,4.37,8.74,24.04,5.46,2.19
108-118,5.36,0.77,45.19,5.36,2.3,108,0,5.36,9.96,66.64,6.13,0,2.3,23.74,6.89,5.36,2.3,3.06,0.77,121.79,0.77,5.36,29.87,236.68,3.83,8.43,9.19,0,0.77,35.23,0.77,0,0.77,0,0,8.43,4.6,5.36,21.45,7.66,2.3
120,1.96,3.92,88.19,17.64,0,127.39,0,9.8,7.84,66.63,5.88,0,0,35.28,5.88,5.88,7.84,5.88,1.96,137.18,3.92,7.84,52.91,337.08,9.8,9.8,13.72,0,5.88,48.99,1.96,0,1.96,1.96,0,7.84,1.96,5.88,27.44,3.92,3.92
