stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,3,0,0,0,0,2,0,0,44,0,0,0,0,0,0,0,1,30,0,0,0
 24-34,0,0,0.82,2.46,0,2.46,0,22.16,0,0,0,0,5.75,0,1.64,382.52,0,1.64,0.82,0,0,1.64,0,0.82,108.35,0,3.28,0
 36-46,0,0,0,0.81,0,8.06,0,42.7,0.81,0,0,1.61,4.03,0,0,436.67,0,0.81,0,0,0,0.81,0,0,213.5,0,0.81,0
 48-58,0,0,0.57,1.15,0,28.69,0.57,67.14,0.57,0,0,0.57,6.31,0,0.57,228.95,0,0.57,0.57,0,0.57,0,0.57,0,116.48,0,0.57,0
 60-70,0,0,0,0.98,0,28.46,0,63.8,0,0.98,0,0,3.93,0.98,0.98,115.82,0.98,0,2.94,0,0.98,0,0,0,50.06,0,0.98,0
 72-82,0,0,0,1.96,0,16.69,0.98,62.83,0,0.98,0,0,5.89,0,0,60.86,0,0,0.98,0,0,0,0.98,0,19.63,0,0,0.98
 84-94,0,0,1.06,0,0,10.62,0,24.43,0,1.06,0,0,2.12,0,1.06,21.24,0,0,0,0,0,0,0,0,16.99,1.06,1.06,0
 96-106,0,0,0,2.19,0,2.19,0,16.39,0,1.09,0,0,5.46,0,0,12.02,0,0,0,0,0,0,0,0,5.46,0,0,0
108-118,0,0,0,1.53,0.77,4.6,0,21.45,0,0,0,0,1.53,0,0,16.09,0,0,3.06,0,0,0,0,0,2.3,0,0,0
120,0,0,0,1.96,0,3.92,0,27.44,0,0,1.96,0,5.88,0,0,19.6,0,0,0,0,0,0,0,0,1.96,0,0,0
