stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,heart,ionocyte,iridophores,muscle,neural,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,3,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,8.06,0,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,0,1.15,0,0.57,0.57,6.31,0,0,0,0,1.15,0,0
 60-70,0,0,0,4.91,0.98,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0
 72-82,0,0,0,16.69,0,0.98,0,0,0,0,0,8.83,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,0,3.19,1.06,1.06,0,2.12,0,0,0,3.19,0,0,0,0,2.12,0,0
 96-106,0,0,0,6.56,1.09,1.09,0,0,0,0,0,0,4.37,0,0,0,0,0,2.19
108-118,0,0,0.77,5.36,0,0,0,0.77,1.53,0,0,9.96,0.77,0,0.77,0,0,0,1.53
120,0,0,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96
