stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,412.07,2.46,0,0,0.82,0,0,0,0,0.82,0,0,8.21,0.82,0,3.28,24.63,0.82,0,0,0,0,1.64,0,0,5.75,2.46,0,0
 36-46,0,0,0,348.85,1.61,0,0,0.81,0,0,0,0,0,0,0,3.22,0,0,0.81,19.34,0,0,0,0,0,0,0,0,6.45,0,0,0.81
 48-58,0,0,0.57,694.88,13.2,0,0.57,2.3,0,0,0.57,0,0,0,0,3.44,0,0.57,0.57,31.56,0.57,0,0,0,0,0.57,0,0,8.03,0.57,0,0
 60-70,0.98,0,0,880.43,41.22,0,0,3.93,0,0,2.94,0.98,0,0,0,13.74,0,0,0,45.15,0,0,0,0,0,1.96,0,0,5.89,0,0,0.98
 72-82,0,0,0,838.34,21.6,0.98,0.98,3.93,0.98,0,7.85,0,0,0,0,25.52,0,0,0,64.79,0,0.98,0.98,0,0.98,0.98,0,0,5.89,1.96,0,0.98
 84-94,0,1.06,3.19,643.59,15.93,1.06,0,5.31,0,1.06,3.19,0,2.12,0,1.06,10.62,0,1.06,1.06,26.55,1.06,0,1.06,0,0,2.12,1.06,1.06,1.06,2.12,1.06,0
 96-106,0,0,0,618.55,17.49,0,0,4.37,0,0,16.39,1.09,0,0,0,12.02,1.09,1.09,1.09,27.32,0,1.09,0,0,0,4.37,0,1.09,1.09,3.28,1.09,0
108-118,0,0,2.3,405.19,12.26,0,0.77,2.3,0.77,0,13.79,0,1.53,0.77,0,4.6,0,0,1.53,22.98,0,0,0,0,0,4.6,0,0,0,5.36,0,0
120,0,0,9.8,437.03,7.84,0,0,5.88,0,0,21.56,0,0,0,0,3.92,0,0,0,19.6,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0
