stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,0,0,0,0,1,0,0,0,0,0,0,2,3,3,0,0,0,1,32,1,1,36,6,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,22.16,0,36.12,11.49,1.64,0,4.1,0,0.82,0,0,0,5.75,2.46,0,0,0,0
 36-46,0,0,0,1.61,0,1.61,0.81,0,0,0,0,76.54,0,36.26,24.17,0,0.81,6.45,0,0.81,0,0,0,0,8.06,0,0.81,0,0
 48-58,0,1.15,0,2.87,0,1.72,0,0,0,0,0.57,71.15,0.57,18.36,18.36,0.57,0,6.31,0,0.57,0,0,0,0,8.03,0,0.57,0,0.57
 60-70,0,0.98,0,13.74,0,3.93,0,0.98,0,0,0,95.21,0,19.63,31.41,0,0,6.87,0.98,0,0,0,0,0,11.78,0.98,0.98,0,0.98
 72-82,0.98,1.96,1.96,23.56,0.98,3.93,3.93,0,0,0.98,0,137.43,0,26.5,43.19,0,0,5.89,0,0.98,0,0,0,0,8.83,1.96,0,0.98,0
 84-94,0,0,0,9.56,3.19,8.5,0,0,1.06,0,1.06,69.03,1.06,14.87,15.93,0,1.06,2.12,0,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,1.09,0,9.84,0,2.19,2.19,0,0,0,0,92.89,0,13.11,19.67,0,0,7.65,0,1.09,0,0,1.09,0,2.19,0,1.09,0,0
108-118,0,0.77,0,5.36,0.77,0.77,1.53,0,0,0,0.77,55.92,0,8.43,19.15,0,0,0,2.3,0,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,7.84,1.96,3.92,0,1.96,0,0,0,39.2,0,7.84,39.2,0,0,7.84,0,0,0,0,0,0,3.92,0,0,0,0
