stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,1,3,0,0
 24-34,0,0,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,34.48,1.64,1.64,0,0,2.46,0,0.82,0,11.49,0,1.64
 36-46,0,0,0,0,0.81,0,4.83,0.81,0,0.81,0.81,0,0,0.81,0,0,0,3.22,0,0.81,52.37,0,1.61,0,0,3.22,0,0,0,8.06,0,0
 48-58,0,0,0,0,0.57,0,10.9,0,0.57,2.87,0,0,0,0,0,0,0,2.3,0.57,0.57,41.31,0,1.15,0,0,0.57,0,0,0,9.75,0,0.57
 60-70,0,0,0,0,1.96,0,9.82,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0.98,69.69,0,0,0,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,0,2.94,0.98,11.78,0.98,0,1.96,0,0,0,0,0,0,0,4.91,0,0,50.06,0,0,0.98,0,1.96,0,0,0,4.91,0.98,1.96
 84-94,0,0,0,0,2.12,0,11.68,0,2.12,4.25,0,0,0,0,0,0,1.06,5.31,0,1.06,20.18,0,0,0,0,2.12,0,0,0,5.31,1.06,3.19
 96-106,0,0,0,0,1.09,0,9.84,0,0,3.28,0,0,1.09,0,0,2.19,0,10.93,0,0,8.74,0,0,0,0,0,0,0,0,1.09,0,2.19
108-118,0,0,0.77,0,4.6,0,6.89,0,0,1.53,0.77,0,0,0,0.77,0,0,6.89,0,1.53,25.28,0.77,1.53,0.77,0,3.83,0,0,0,0,0,0
120,0,0,0,0,3.92,0,1.96,0,0,3.92,0,0,0,0,0,0,0,1.96,0,1.96,33.32,0,1.96,0,0,1.96,0,0,0,0,0,1.96
