stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,3.28,0.82,0,0.82,0.82,1.64
 36-46,0,2.42,0.81,0,2.42,0,0,4.83,1.61,11.28,0.81,0.81,3.22,2.42,0
 48-58,0,0.57,0,0,0,0,0,1.72,0,3.44,0,0,0,1.15,0.57
 60-70,0.98,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0.98,0,0.98
 72-82,0,1.96,0,0.98,0.98,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,0,0,3.19,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0.77,0.77,0,0,0,0,0,0.77,0,1.53,0,0,3.06,0,0.77
120,0,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0
