stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,130,0,1,0,0,0,1,0,0,66,0,0,0,0,0
 24-34,0,10.67,4.93,0,0,8.21,0,0.82,0,1.64,0.82,0.82,0,22.98,0,0,0,0,6.57,0,0,2.46,631.24,0.82,13.13,0.82,0,0,0,1.64,0,158.43,0,0,0.82,0,0
 36-46,0,5.64,4.03,0,0,11.28,0,0,0,3.22,0,0,0.81,9.67,0,0,0,0,6.45,0.81,0,1.61,1583.95,0,10.47,0,0,0,6.45,4.03,0,235.26,0,0,0,0,2.42
 48-58,0,5.16,6.89,0.57,0,107.3,0,0,0.57,20.66,0,0.57,1.72,2.87,0,0,0.57,1.15,17.21,0.57,1.72,2.87,2171.85,1.15,4.59,0.57,0,0.57,3.44,2.87,0.57,250.18,0,0,1.15,0,2.87
 60-70,0,2.94,9.82,0.98,0,223.79,0,2.94,0.98,11.78,0.98,0.98,0,5.89,0.98,0,2.94,0.98,47.11,0.98,1.96,1.96,3656.17,1.96,13.74,0.98,0,0,7.85,7.85,0,389.66,0,3.93,2.94,0,1.96
 72-82,0,25.52,22.58,7.85,0,604.7,0,3.93,5.89,77.55,6.87,0.98,4.91,8.83,1.96,0.98,5.89,1.96,139.4,0,3.93,6.87,3732.28,2.94,9.82,5.89,0,0.98,22.58,20.61,0,296.46,0.98,1.96,9.82,6.87,6.87
 84-94,0,20.18,48.85,7.43,1.06,467.3,1.06,0,6.37,64.78,15.93,1.06,0,14.87,2.12,1.06,3.19,3.19,88.15,2.12,4.25,4.25,1952.02,4.25,6.37,7.43,0,0,41.42,56.29,0,156.12,1.06,1.06,3.19,4.25,1.06
 96-106,0,27.32,27.32,6.56,2.19,427.3,0,0,3.28,69.94,51.36,0,1.09,21.86,3.28,3.28,18.58,0,108.19,0,5.46,5.46,1690.63,5.46,8.74,16.39,0,2.19,61.2,52.46,0,75.41,2.19,2.19,5.46,3.28,5.46
108-118,0,16.09,36.77,9.19,15.32,373.02,0,3.83,0.77,49.02,42.13,2.3,6.89,26.81,1.53,1.53,121.02,0,108,3.06,2.3,3.06,2255.76,4.6,3.83,6.13,0,0,26.81,79.66,0.77,56.68,3.06,3.83,5.36,3.83,1.53
120,0,15.68,29.4,7.84,3.92,356.68,0,5.88,1.96,41.16,31.36,0,3.92,9.8,0,1.96,107.79,0,84.27,3.92,0,7.84,2287.07,5.88,13.72,9.8,0,0,41.16,50.95,0,72.51,1.96,1.96,3.92,9.8,0
