stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,24.52,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,4.1,0,0,0,0,0,1.64,1.64,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0.57,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,10.8,0,0.98,0,0,1.96,0,0,0,0,0,0,1.96,0,4.91,0,0,0,0,0,0,0.98,0
 84-94,0,0,6.37,0,0,0,0,1.06,0,0,0,1.06,0,0,1.06,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,29.51,0,1.09,0,1.09,0,2.19,0,1.09,1.09,1.09,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0
108-118,0,0,36,0,1.53,0,0.77,1.53,1.53,0,0,3.83,0.77,0,0.77,1.53,2.3,0,0,0.77,0,0,0,0,0.77
120,0,0,39.2,0,1.96,0,3.92,0,5.88,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0
