stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,5,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,2,17,0,0,1,1,0,0,2,0,0,11,0,0,0,0
 24-34,0,3.28,0,3.28,0,0.82,0.82,0,0,0,0,0,0,0,4.93,0,0,2.46,33.66,1.64,0.82,2.46,0,0,0.82,0,0,1.64,9.85,0,0,1.64,0
 36-46,0,0,0,1.61,0.81,1.61,1.61,0,0,0,0,0,0,0,4.03,0,0,0,15.31,0.81,0,0,0,0,3.22,0,0,0,5.64,0,0,2.42,0
 48-58,0,1.15,0,4.02,0.57,0,2.87,0.57,0,0,0,0.57,0,0.57,7.46,0,0,1.15,16.07,0,0,0.57,0,0,2.3,0,0,0,6.31,0,0,1.72,0.57
 60-70,0,0,0,3.93,0,4.91,3.93,0,0,0,0.98,0,0,0,23.56,0,0,2.94,20.61,0,1.96,0,0,0,3.93,0,0.98,0,7.85,0,0.98,0.98,0
 72-82,0,1.96,0.98,2.94,0,1.96,5.89,0,0,0,0,0,0,0,14.72,0,0,0.98,8.83,0.98,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0
 84-94,0,2.12,0,5.31,0,2.12,4.25,0,1.06,0,0,0,1.06,0,15.93,0,0,0,9.56,0,0,1.06,0,1.06,2.12,0,0,0,0,0,3.19,1.06,0
 96-106,0,2.19,0,7.65,0,1.09,0,0,0,0,0,0,0,0,14.21,0,1.09,3.28,10.93,0,1.09,2.19,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0.77,0,0,1.53,0,1.53,3.06,0,0,0,0,0.77,0,0.77,4.6,0.77,0,1.53,7.66,0,0.77,0.77,0,0,1.53,0,0,0,0.77,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0
