stage,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle
 14-21,0,0,2,0,0,5,0,0,0,1,6,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,2.46,0
 36-46,0,0.81,0.81,0,0,0,0,0,0,0.81,3.22,0
 48-58,0,0.57,1.15,0,0,1.15,0,0,0,0,0.57,0
 60-70,0,0.98,0,0,0,1.96,0,0,0,0.98,0.98,0
 72-82,0.98,2.94,1.96,0,0,3.93,0,0,0,0,3.93,0
 84-94,0,0,1.06,1.06,0,3.19,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,0,0,0
108-118,0,0,1.53,0,0,1.53,0.77,0,0,0,0,0
120,1.96,0,0,0,1.96,1.96,5.88,1.96,0,0,0,1.96
