stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,15,3,0,0,8,24,1,0,2,0,1,1,0,0,12,11,0,0,0,0,1
 24-34,0,0.82,0,7.39,0.82,9.03,0,0.82,0,0,0.82,0,4.93,1.64,2.46,0,36.94,29.55,0.82,0,15.6,100.97,0.82,0,0,0,1.64,0,0,4.93,0.82,5.75,0,0,0.82,0,13.13
 36-46,0,0,0,3.22,0.81,1.61,0,0.81,0.81,1.61,0,0.81,2.42,0,2.42,0,26.59,58.81,0.81,0.81,9.67,70.9,0,4.03,0,0,2.42,0,0,0.81,0,3.22,0,0,0.81,0,8.86
 48-58,0,0,0,0.57,0,0.57,1.72,0.57,0,0.57,0,0.57,3.44,1.72,1.15,0,16.64,53.36,4.02,1.15,10.33,22.95,0,1.72,0,1.15,1.72,0,0,1.72,0,9.18,0,0,1.15,0,9.18
 60-70,0,0,0,2.94,0,2.94,0,0,0,0,0.98,0.98,4.91,0,0,0,4.91,49.08,0,0,12.76,9.82,0,0,0,0,0.98,0,0.98,1.96,0,0,0.98,0.98,0.98,0,4.91
 72-82,0,0,0,2.94,0,4.91,0,0.98,1.96,0.98,6.87,0,7.85,0.98,0.98,0,2.94,70.68,3.93,3.93,11.78,19.63,0,1.96,0,1.96,1.96,0,0,1.96,0,0,0,0,1.96,1.96,6.87
 84-94,0,0,0,7.43,0,1.06,0,0,1.06,3.19,7.43,2.12,22.3,5.31,0,0,7.43,55.23,5.31,4.25,11.68,11.68,0,1.06,0,0,2.12,0,0,1.06,0,2.12,0,0,4.25,1.06,5.31
 96-106,0,1.09,0,4.37,1.09,4.37,2.19,0,0,2.19,3.28,0,16.39,4.37,1.09,0,3.28,41.53,3.28,3.28,7.65,16.39,0,0,0,0,2.19,0,0,2.19,0,1.09,4.37,0,3.28,1.09,3.28
108-118,0,0.77,0,7.66,0,1.53,1.53,0.77,1.53,0.77,9.19,0,14.55,3.06,0.77,0.77,6.13,36,1.53,6.13,7.66,11.49,0,1.53,0,0.77,2.3,0,0,0.77,0,0,4.6,0.77,2.3,0.77,3.83
120,0,0,0,3.92,3.92,1.96,0,1.96,1.96,0,7.84,0,27.44,0,0,0,3.92,47.03,3.92,3.92,11.76,3.92,0,1.96,0,1.96,15.68,0,0,0,0,0,0,0,1.96,0,0
