stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,3,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,2.3,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0,4.91,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,1.96,0,0.98,0,8.83,0,0,0,0,0.98,21.6,2.94,0,0,11.78,0,0,0,0,0,0,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,8.5,0,1.06,0,1.06,0,40.36,1.06,0,0,9.56,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,2.19,4.37,0,9.84,1.09,0,6.56,130.05,0,1.09,3.28,0,1.09,512.55,8.74,1.09,0,122.4,1.09,1.09,0,0,8.74,0,0,0,0,2.19,1.09,1.09,1.09
108-118,0,0,3.83,0.77,5.36,2.3,3.83,16.85,1.53,1.53,4.6,303.32,0,0,2.3,3.83,0.77,1154.31,8.43,0,0.77,91.92,0,2.3,0,0.77,4.6,0,1.53,0.77,0,0,0,1.53,0
120,0,0,0,0,0,0,0,11.76,0,0,3.92,150.9,0,0,1.96,0,0,562.46,5.88,0,0,62.71,0,3.92,0,0,5.88,0,1.96,0,0,0,0,0,0
