stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,6,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,40,0,1,0,1,3,1,0,4,17,19,0,0,0,0
 24-34,0.82,2.46,1.64,0,13.95,0,0,0,1.64,0,0,0,0.82,5.75,0,0.82,0,0.82,3.28,0,0,7.39,79.62,0,4.1,0,0,7.39,0,0.82,9.85,5.75,25.45,0,0,2.46,0.82
 36-46,0,0.81,0,0,24.17,8.06,0,0,4.03,0,0,0.81,0.81,0,0,0,0,0,4.03,0.81,0,3.22,100.71,0.81,1.61,0,0,8.86,0,0,8.86,0.81,41.09,0,0,0.81,0
 48-58,0,0.57,0,0,32.71,5.16,0,1.15,10.33,0.57,0,0,0,0.57,0,0,0,0.57,10.33,2.3,0.57,0,84.35,0,1.15,0.57,0,5.74,0,0,10.33,0,19.51,0,0,1.72,0.57
 60-70,0,4.91,0,0,62.82,5.89,0.98,0,11.78,0,0,0,0.98,1.96,0.98,0,0,0,11.78,0,0,2.94,83.43,0,5.89,0,0.98,0.98,0,0,3.93,0,11.78,0,0,1.96,0
 72-82,1.96,0,2.94,0,52.03,1.96,0,0.98,17.67,2.94,0,0,0,1.96,0,2.94,0.98,0,16.69,0.98,0.98,2.94,97.18,0,3.93,0.98,0,6.87,0,0,2.94,0,12.76,0,0,0,0
 84-94,0,4.25,1.06,2.12,36.11,0,4.25,1.06,6.37,4.25,0,0,0,4.25,1.06,1.06,1.06,0,12.74,0,1.06,3.19,65.85,0,4.25,1.06,0,30.8,0,1.06,2.12,0,1.06,1.06,0,3.19,0
 96-106,0,6.56,8.74,3.28,33.88,0,0,0,3.28,3.28,0,0,3.28,0,1.09,2.19,0,0,6.56,4.37,1.09,2.19,48.09,0,4.37,1.09,0,24.04,0,0,2.19,0,5.46,1.09,1.09,4.37,0
108-118,0,6.13,2.3,4.6,26.81,7.66,2.3,0,3.83,1.53,0,0.77,0.77,3.83,0,0,0.77,0,16.85,1.53,0,3.06,52.85,0,4.6,2.3,0,15.32,0,0,5.36,0,3.06,0,0,0.77,0
120,0,5.88,1.96,1.96,15.68,3.92,0,0,9.8,1.96,0,0,1.96,3.92,0,5.88,1.96,0,7.84,1.96,0,7.84,52.91,0,0,1.96,0,11.76,0,0,1.96,0,0,0,0,0,0
